episode,reward,steps,epsilon_end,last_loss
1,-7.321228,1500,0.2925,0.00154
2,-6.226873,1500,0.285,0.000367
3,-6.544894,1500,0.2775,0.000615
4,-5.904966,1500,0.27,0.000248
5,-6.074416,1500,0.2625,0.000564
6,-7.399015,1500,0.255,0.000582
7,-6.276171,1500,0.2475,0.000271
8,-4.692831,1500,0.24,0.00035
9,-5.154758,1500,0.2325,0.000113
10,-6.060048,1500,0.225,0.000634
11,-6.490197,1500,0.2175,0.000118
12,-4.105538,1500,0.21,0.001429
13,-4.674127,1500,0.2025,0.000446
14,-5.246451,1500,0.195,0.000449
15,-3.600828,1500,0.1875,0.000993
16,-4.349967,1500,0.18,0.000569
17,-2.23473,1500,0.1725,0.000639
18,-4.093155,1500,0.165,0.000256
19,-4.189787,1500,0.1575,0.000275
20,-2.66984,1500,0.15,0.000151
21,-2.974457,1500,0.1425,0.000373
22,-2.812189,1500,0.135,0.000967
