episode,reward,steps,epsilon_end,last_loss
1,-5.275706,1257,0.293715,0.002581
2,-5.02174,1257,0.28743,0.000861
3,-4.891543,1257,0.281145,0.002314
4,-2.482046,1257,0.27486,0.00157
5,-3.853025,1257,0.268575,0.001138
6,-3.573772,1257,0.26229,0.00126
7,-2.984389,1257,0.256005,0.001206
8,-2.033564,1257,0.24972,0.001513
9,-1.869107,1257,0.243435,0.000858
10,-4.481269,1257,0.23715,0.001497
11,-1.576857,1257,0.230865,0.000851
12,-2.73822,1257,0.22458,0.000785
13,-3.134704,1257,0.218295,0.000751
14,-3.083989,1257,0.21201,0.001129
15,-3.354497,1257,0.205725,0.001272
16,-2.222639,1257,0.19944,0.002173
