episode,reward,steps,epsilon_end,last_loss
1,-6.823676,1258,0.29371,0.001276
2,-6.767833,1258,0.28742,0.002297
3,-6.000431,1258,0.28113,0.002038
4,-4.022577,1258,0.27484,0.002054
5,-4.472182,1258,0.26855,0.000697
6,-5.45882,1258,0.26226,0.000579
7,-5.412703,1258,0.25597,0.000967
8,-4.344178,1258,0.24968,0.000774
9,-2.825634,1258,0.24339,0.000841
10,-6.301235,1258,0.2371,0.001718
11,-2.371751,1258,0.23081,0.000851
12,-5.437645,1258,0.22452,0.000564
13,-3.807206,1258,0.21823,0.001564
14,-4.252417,1258,0.21194,0.000267
15,-3.110028,1258,0.20565,0.001165
16,-3.666915,1258,0.19936,0.001176
