episode,reward,steps,epsilon_end,last_loss
1,-45.637175,1500,0.2925,0.004581
2,-49.274828,1500,0.285,0.004833
3,-43.461784,1500,0.2775,0.004602
4,-41.679747,1500,0.27,0.006012
5,-42.341693,1500,0.2625,0.004779
6,-41.675118,1500,0.255,0.005522
7,-38.686438,1500,0.2475,0.003667
8,-41.068955,1500,0.24,0.006031
9,-43.432329,1500,0.2325,0.004851
10,-37.429584,1500,0.225,0.005161
11,-37.222084,1500,0.2175,0.004126
12,-38.236376,1500,0.21,0.00484
13,-34.595803,1500,0.2025,0.004364
14,-39.759627,1500,0.195,0.004237
15,-35.022911,1500,0.1875,0.003915
16,-34.848719,1500,0.18,0.005869
