contract,round,date,position,return
CA,2,2016-01-04,1.0,-0.0
CA,2,2016-01-05,1.0,0.0012292154487990505
CA,2,2016-01-06,1.0,-0.05064494159350314
CA,2,2016-01-07,1.0,-0.06607497796631244
CA,2,2016-01-08,1.0,-0.06163979032568729
CA,2,2016-01-11,1.0,-0.017442690217355523
CA,2,2016-01-12,1.0,0.05822330961437409
CA,2,2016-01-13,1.0,0.01047509901235422
CA,2,2016-01-14,1.0,-0.07157424842656968
CA,2,2016-01-15,1.0,-0.09123663527336305
CA,2,2016-01-18,1.0,-0.017697457921891136
CA,2,2016-01-19,1.0,0.07245431202290055
CA,2,2016-01-20,1.0,-0.1292838772344396
CA,2,2016-01-21,1.0,0.06695251753681951
CA,2,2016-01-22,1.0,0.10657860356628023
CA,2,2016-01-25,1.0,-0.020461495697548897
CA,2,2016-01-26,1.0,0.03724514272460666
CA,2,2016-01-27,1.0,0.018751873184174223
CA,2,2016-01-28,1.0,-0.04646103974151373
CA,2,2016-01-29,1.0,0.0777383759143085
CA,2,2016-02-01,1.0,-0.016288904748018834
CA,2,2016-02-02,1.0,-0.08854261271742223
CA,2,2016-02-03,1.0,-0.0455973575483365
CA,2,2016-02-04,1.0,0.000720049684888448
CA,2,2016-02-05,1.0,-0.02284896883269366
CA,2,2016-02-08,1.0,-0.11240180258660049
CA,2,2016-02-09,1.0,-0.05618391652240187
CA,2,2016-02-10,1.0,0.0516777140606704
CA,2,2016-02-11,1.0,-0.1336073324643022
CA,2,2016-02-12,1.0,0.07534483598346974
CA,2,2016-02-15,1.0,0.09021703263465879
CA,2,2016-02-16,1.0,-0.0035703286826022093
CA,2,2016-02-17,1.0,0.09187893831893311
CA,2,2016-02-18,1.0,0.0033271254931624256
CA,2,2016-02-19,-1.0,-0.011867788722592585
CA,2,2016-02-22,1.0,-0.0749028118492065
CA,2,2016-02-23,1.0,-0.06380182119449675
CA,2,2016-02-24,1.0,-0.06190091275360995
CA,2,2016-02-25,1.0,0.06969824211610452
CA,2,2016-02-26,1.0,0.04885324129891841
CA,2,2016-02-29,1.0,0.028990458872183572
CA,2,2016-03-01,1.0,0.04019687414364695
CA,2,2016-03-02,-1.0,0.013587877864835637
CA,2,2016-03-03,-1.0,-0.013383553486297644
CA,2,2016-03-04,-1.0,-0.03195939780677769
CA,2,2016-03-07,-1.0,0.010998528088014565
CA,2,2016-03-08,-1.0,0.030492635446663266
CA,2,2016-03-09,-1.0,-0.0176704933210837
CA,2,2016-03-10,-1.0,0.06470895952807816
CA,2,2016-03-11,1.0,-0.11814123640454667
CA,2,2016-03-14,-1.0,-0.007937873181238364
CA,2,2016-03-15,-1.0,0.005709545548178187
CA,2,2016-03-16,-1.0,0.007361400692787543
CA,2,2016-03-17,-1.0,0.018012195807829055
CA,2,2016-03-18,-1.0,-0.016469077832576305
CA,2,2016-03-21,1.0,0.024235807346921368
CA,2,2016-03-22,1.0,-0.018689160613488333
CA,2,2016-03-23,1.0,-0.0051307471671898095
CA,2,2016-03-24,1.0,-0.0855656411018827
CA,2,2016-03-29,1.0,0.03292796606796848
CA,2,2016-03-30,1.0,0.07050081768271341
CA,2,2016-03-31,1.0,-0.053550374595953736
CA,2,2016-04-01,1.0,-0.05716851823195803
CA,2,2016-04-04,1.0,0.019358685718112736
CA,2,2016-04-05,1.0,-0.08742469113716828
CA,2,2016-04-06,1.0,0.03072770377730683
CA,2,2016-04-07,1.0,-0.03502224388256891
CA,2,2016-04-08,1.0,0.053053431022832255
CA,2,2016-04-11,1.0,0.008251035186963268
CA,2,2016-04-12,1.0,0.029191887034015002
CA,2,2016-04-13,1.0,0.1362258072655571
CA,2,2016-04-14,1.0,0.019883844717423008
CA,2,2016-04-15,1.0,-0.014042109416300365
CA,2,2016-04-18,1.0,0.010716570862229385
CA,2,2016-04-19,1.0,0.05795450341252524
CA,2,2016-04-20,1.0,0.023108001005411886
CA,2,2016-04-21,1.0,-0.009583371385885001
CA,2,2016-04-22,1.0,-0.009735529436573288
CA,2,2016-04-25,1.0,-0.022479130719342506
CA,2,2016-04-26,1.0,-0.003119313746569807
CA,2,2016-04-27,1.0,0.02672359429800022
CA,2,2016-04-28,1.0,-0.004232791225198009
CA,2,2016-04-29,1.0,-0.12672426668619596
CA,2,2016-05-02,1.0,0.01609419209281372
CA,2,2016-05-03,1.0,-0.06984860909875047
CA,2,2016-05-04,1.0,-0.0448730608165902
CA,2,2016-05-05,1.0,0.007261842520365911
CA,2,2016-05-06,1.0,-0.00868329444480082
CA,2,2016-05-09,1.0,0.022091423887976098
CA,2,2016-05-10,1.0,0.031144019165702214
CA,2,2016-05-11,1.0,-0.022476558668453352
CA,2,2016-05-12,1.0,-0.024438916306111513
CA,2,2016-05-13,1.0,0.03134608500469513
CA,2,2016-05-16,1.0,-0.008254323672699604
CA,2,2016-05-17,1.0,-0.009575273580913047
CA,2,2016-05-18,1.0,0.024333377687491126
CA,2,2016-05-19,1.0,-0.043182242716554985
CA,2,2016-05-20,1.0,0.0814291993035817
CA,2,2016-05-23,1.0,-0.024349939852665425
CA,2,2016-05-24,1.0,0.1225925510482425
CA,2,2016-05-25,1.0,0.0595864474693848
CA,2,2016-05-26,1.0,0.034527458654601925
CA,2,2016-05-27,1.0,0.0058264756994804035
CA,2,2016-05-30,1.0,0.018082820155187394
CA,2,2016-05-31,1.0,-0.02507571846553377
CA,2,2016-06-01,1.0,-0.034456038832847515
CA,2,2016-06-02,1.0,0.0016008176462633447
CA,2,2016-06-03,1.0,-0.05062193463988686
CA,2,2016-06-06,1.0,0.012285591271009725
CA,2,2016-06-07,1.0,0.06236419191939626
CA,2,2016-06-08,1.0,-0.03278774177503442
CA,2,2016-06-09,1.0,-0.052643350391466115
CA,2,2016-06-10,1.0,-0.11960673433709755
CA,2,2016-06-13,1.0,-0.09080932669485565
CA,2,2016-06-14,1.0,-0.10925892496154271
CA,2,2016-06-15,1.0,0.04509607571627532
CA,2,2016-06-16,1.0,-0.02126244442767608
CA,2,2016-06-17,1.0,0.04841781394896722
CA,2,2016-06-20,1.0,0.1643887564122947
CA,2,2016-06-21,1.0,0.02833393835909545
CA,2,2016-06-22,0.0,0.011914330838550641
CA,2,2016-06-23,-1.0,-0.013196213451037522
CA,2,2016-06-24,-1.0,0.3491575899466938
CA,2,2016-06-27,-1.0,0.07590710153219195
CA,2,2016-06-28,1.0,-0.06805044342338272
CA,2,2016-06-29,1.0,0.05445224762212511
CA,2,2016-06-30,1.0,0.027374023348800288
CA,2,2016-07-01,1.0,0.023444010517608232
CA,2,2016-07-04,-1.0,-0.02431854915558975
CA,2,2016-07-05,-1.0,0.031458416017211985
CA,2,2016-07-06,1.0,0.052020314003503494
CA,2,2016-07-07,1.0,0.0051449706871039
CA,2,2016-07-08,1.0,0.05049173314346874
CA,2,2016-07-11,1.0,0.051745440444016695
CA,2,2016-07-12,1.0,0.045990134520849095
CA,2,2016-07-13,1.0,0.0030778029594943418
CA,2,2016-07-14,1.0,0.03524283573681519
CA,2,2016-07-15,1.0,-0.008334616170660183
CA,2,2016-07-18,1.0,-0.011424607620203576
CA,2,2016-07-19,1.0,-0.020472535775898918
CA,2,2016-07-20,1.0,0.036589254769945866
CA,2,2016-07-21,1.0,-0.0027584419893857824
CA,2,2016-07-22,1.0,0.003688888764026839
CA,2,2016-07-25,1.0,0.004924335551355893
CA,2,2016-07-26,1.0,0.006191678102945055
CA,2,2016-07-27,1.0,0.04191532103142848
CA,2,2016-07-28,1.0,-0.020520592067415817
CA,2,2016-07-29,1.0,0.015177824149457652
CA,2,2016-08-01,1.0,-0.026264668028295378
CA,2,2016-08-02,1.0,-0.06956188480633495
CA,2,2016-08-03,1.0,-0.005578145184094692
CA,2,2016-08-04,1.0,0.0204204089616632
CA,2,2016-08-05,1.0,0.05690539312949577
CA,2,2016-08-08,1.0,0.004352087465057876
CA,2,2016-08-09,1.0,0.0463661258873355
CA,2,2016-08-10,1.0,-0.013932808066512576
CA,2,2016-08-11,1.0,0.04653785521009419
CA,2,2016-08-12,-1.0,-0.0032970823532564265
CA,2,2016-08-15,0.0,-0.022555829902821126
CA,2,2016-08-16,1.0,-0.012532113933060215
CA,2,2016-08-17,1.0,-0.05374749237579517
CA,2,2016-08-18,1.0,0.018148855244532424
CA,2,2016-08-19,1.0,-0.03625360180833712
CA,2,2016-08-22,1.0,-0.010947597884846273
CA,2,2016-08-23,1.0,0.032280631381521194
CA,2,2016-08-24,1.0,0.013997288192363603
CA,2,2016-08-25,1.0,-0.030017430552473596
CA,2,2016-08-26,1.0,0.0367515715868472
CA,2,2016-08-29,1.0,-0.01853063380491148
CA,2,2016-08-30,1.0,0.03496477369204701
CA,2,2016-08-31,1.0,-0.020642241069938626
CA,2,2016-09-01,1.0,0.0014390007707101395
CA,2,2016-09-02,1.0,0.11422177525758805
CA,2,2016-09-05,1.0,-0.002220998319991971
CA,2,2016-09-06,1.0,-0.01269681779585628
CA,2,2016-09-07,1.0,0.030572702832194248
CA,2,2016-09-08,1.0,-0.017570825987811428
CA,2,2016-09-09,1.0,-0.0558688105972029
CA,2,2016-09-12,1.0,-0.05842681426331514
CA,2,2016-09-13,1.0,-0.06059258346300143
CA,2,2016-09-14,1.0,-0.01979928807838745
CA,2,2016-09-15,1.0,0.002080649529498222
CA,2,2016-09-16,1.0,-0.04747366489357929
CA,2,2016-09-19,1.0,0.07381290756642091
CA,2,2016-09-20,1.0,-0.006549348238615994
CA,2,2016-09-21,1.0,0.02509521041966662
CA,2,2016-09-22,1.0,0.11985968238357295
CA,2,2016-09-23,1.0,-0.02465395213094781
CA,2,2016-09-26,1.0,-0.09347113602628591
CA,2,2016-09-27,1.0,-0.0020976391809213886
CA,2,2016-09-28,1.0,0.03849093922015612
CA,2,2016-09-29,1.0,0.012507759326640432
CA,2,2016-09-30,1.0,0.00441396195251379
CA,2,2016-10-03,1.0,0.005685111970613522
CA,2,2016-10-04,1.0,0.06073340882762114
CA,2,2016-10-05,1.0,-0.016302580618014602
CA,2,2016-10-06,1.0,-0.011889486751541107
CA,2,2016-10-07,1.0,-0.03758392352720394
CA,2,2016-10-10,1.0,0.058846611788844885
CA,2,2016-10-11,1.0,-0.031414308191150465
CA,2,2016-10-12,1.0,-0.021123679136949118
CA,2,2016-10-13,1.0,-0.06073907575216721
CA,2,2016-10-14,1.0,0.08411095327699969
CA,2,2016-10-17,1.0,-0.02617582321868517
CA,2,2016-10-18,1.0,0.07650000938485407
CA,2,2016-10-19,1.0,0.013733566588566667
CA,2,2016-10-20,1.0,0.02478325954236571
CA,2,2016-10-21,1.0,-0.0048210086788174665
CA,2,2016-10-24,1.0,0.021580097081331597
CA,2,2016-10-25,1.0,-0.01574491126776846
CA,2,2016-10-26,1.0,-0.00915922339460921
CA,2,2016-10-27,1.0,-0.0016695348505566803
CA,2,2016-10-28,1.0,0.020141159454002473
CA,2,2016-10-31,1.0,-0.05616135066894337
CA,2,2016-11-01,1.0,-0.056534361575709687
CA,2,2016-11-02,1.0,-0.07864128595571535
CA,2,2016-11-03,1.0,-0.0037961766224124437
CA,2,2016-11-04,1.0,-0.050498839172250044
CA,2,2016-11-07,1.0,0.11737511603402524
CA,2,2016-11-08,1.0,0.02643645516050446
CA,2,2016-11-09,1.0,0.09205217492068109
CA,2,2016-11-10,1.0,-0.01601436416135974
CA,2,2016-11-11,0.0,-0.056739622491181814
CA,2,2016-11-14,0.0,-0.018522954920802477
CA,2,2016-11-15,1.0,0.0
CA,2,2016-11-16,1.0,-0.06916553505831531
CA,2,2016-11-17,1.0,0.03808043704284374
CA,2,2016-11-18,1.0,-0.0337252579219603
CA,2,2016-11-21,1.0,0.035840016232943694
CA,2,2016-11-22,1.0,0.028190915996882195
CA,2,2016-11-23,1.0,-0.029065616032304266
CA,2,2016-11-24,1.0,0.020685890494862816
CA,2,2016-11-25,1.0,0.010306721405720164
CA,2,2016-11-28,1.0,-0.06047239162952041
CA,2,2016-11-29,1.0,0.06678059514570908
CA,2,2016-11-30,1.0,0.04047789115075948
CA,2,2016-12-01,1.0,-0.027273839638130314
CA,2,2016-12-02,1.0,-0.050302287760863686
CA,2,2016-12-05,1.0,0.07285718407042621
CA,2,2016-12-06,1.0,0.09012016826095132
CA,2,2016-12-07,0.0,0.0966430786296688
CA,2,2016-12-08,0.0,-0.021520982088561312
CA,2,2016-12-09,0.0,0.0
CA,2,2016-12-12,0.0,-0.0
CA,2,2016-12-13,0.0,0.0
CA,2,2016-12-14,0.0,-0.0
CA,2,2016-12-15,0.0,0.0
CA,2,2016-12-16,0.0,0.0
CA,2,2016-12-19,0.0,-0.0
CA,2,2016-12-20,0.0,0.0
CA,2,2016-12-21,0.0,-0.0
CA,2,2016-12-22,0.0,0.0
CA,2,2016-12-23,0.0,0.0
CA,2,2016-12-27,0.0,0.0
CA,2,2016-12-28,0.0,-0.0
CA,2,2016-12-29,0.0,-0.0
CA,2,2016-12-30,0.0,0.0
CA,2,2017-01-02,0.0,0.0
CA,2,2017-01-03,0.0,0.0
CA,2,2017-01-04,0.0,0.0
CA,2,2017-01-05,0.0,0.0
CA,2,2017-01-06,0.0,0.0
CA,2,2017-01-09,0.0,-0.0
CA,2,2017-01-10,0.0,0.0
CA,2,2017-01-11,0.0,0.0
CA,2,2017-01-12,0.0,-0.0
CA,2,2017-01-13,0.0,0.0
CA,2,2017-01-16,0.0,-0.0
CA,2,2017-01-17,0.0,-0.0
CA,2,2017-01-18,0.0,-0.0
CA,2,2017-01-19,1.0,-0.0
CA,2,2017-01-20,1.0,-0.009640020220139565
CA,2,2017-01-23,1.0,-0.05718670400960155
CA,2,2017-01-24,1.0,0.015465498079360996
CA,2,2017-01-25,1.0,0.0936142028624278
CA,2,2017-01-26,-1.0,-0.020947859801963592
CA,2,2017-01-27,-1.0,-0.004931426275466125
CA,2,2017-01-30,-1.0,0.10796285199962737
CA,2,2017-01-31,-1.0,0.06451215000257068
CA,2,2017-02-01,-1.0,-0.08603200966244719
CA,2,2017-02-02,-1.0,0.003182510190368777
CA,2,2017-02-03,-1.0,-0.058201018928091416
CA,2,2017-02-06,-1.0,0.08676643923407058
CA,2,2017-02-07,-1.0,0.04135092883578853
CA,2,2017-02-08,1.0,-0.022257807869606776
CA,2,2017-02-09,1.0,0.058926015681021376
