contract,round,date,position,return
AN,1,2011-01-03,1.0,-0.0
AN,1,2011-01-04,1.0,-0.11571427552490704
AN,1,2011-01-05,1.0,-0.039400769625715835
AN,1,2011-01-06,1.0,-0.040190071307744706
AN,1,2011-01-07,1.0,0.010267550236953485
AN,1,2011-01-10,1.0,0.00861599561433968
AN,1,2011-01-11,1.0,-0.07388507945148272
AN,1,2011-01-12,1.0,0.0753855572485045
AN,1,2011-01-13,1.0,0.012092522072754647
AN,1,2011-01-14,1.0,-0.06284790271763478
AN,1,2011-01-18,1.0,0.07116058982256267
AN,1,2011-01-19,1.0,0.009555327625279848
AN,1,2011-01-20,-1.0,-0.08802039098304106
AN,1,2011-01-21,1.0,-0.028261213382934657
AN,1,2011-01-24,1.0,0.05348067830126049
AN,1,2011-01-25,1.0,-0.0412294653033967
AN,1,2011-01-26,1.0,0.026416444839520322
AN,1,2011-01-27,1.0,-0.023365815719252055
AN,1,2011-01-28,1.0,0.009866697612722023
AN,1,2011-01-31,1.0,0.030274597356460268
AN,1,2011-02-01,1.0,0.12216351576717752
AN,1,2011-02-02,1.0,-0.0288467684606326
AN,1,2011-02-03,1.0,0.05202591659306253
AN,1,2011-02-04,1.0,-0.006379601822156142
AN,1,2011-02-07,1.0,0.004464186527145583
AN,1,2011-02-08,1.0,0.009200315314519265
AN,1,2011-02-09,1.0,-0.04476619993107436
AN,1,2011-02-10,1.0,-0.045756191713271596
AN,1,2011-02-11,1.0,-0.016285074912855007
AN,1,2011-02-14,1.0,0.010547823158833708
AN,1,2011-02-15,1.0,-0.05635888209215213
AN,1,2011-02-16,1.0,0.07093726457545338
AN,1,2011-02-17,1.0,0.07435247306099857
AN,1,2011-02-18,1.0,0.01548930904728163
AN,1,2011-02-22,1.0,-0.1453706916563034
AN,1,2011-02-23,-1.0,0.03189792221316354
AN,1,2011-02-24,-1.0,-0.08674191168514309
AN,1,2011-02-25,-1.0,-0.06569624545561883
AN,1,2011-02-28,-1.0,-0.011848806821767551
AN,1,2011-03-01,-1.0,0.04152554638502281
AN,1,2011-03-02,-1.0,-0.024233300866383457
AN,1,2011-03-03,-1.0,0.009318679531828362
AN,1,2011-03-04,-1.0,0.017133147517611386
AN,1,2011-03-07,-1.0,0.012523913790732484
AN,1,2011-03-08,-1.0,0.005792630734047596
AN,1,2011-03-09,-1.0,-0.0041576599749836044
AN,1,2011-03-10,1.0,0.09270658837841025
AN,1,2011-03-11,1.0,0.10716842461602247
AN,1,2011-03-14,-1.0,-0.05028294148984121
AN,1,2011-03-15,-1.0,0.13010781534215088
AN,1,2011-03-16,-1.0,0.05214301804339705
AN,1,2011-03-17,-1.0,0.01909026295726964
AN,1,2011-03-18,-1.0,-0.12191017082018817
AN,1,2011-03-21,-1.0,-0.07386027553158209
AN,1,2011-03-22,-1.0,-0.04471924049253141
AN,1,2011-03-23,-1.0,-0.025065124750935617
AN,1,2011-03-24,-1.0,-0.05846221953554122
AN,1,2011-03-25,-1.0,-0.022914943171284154
AN,1,2011-03-28,-1.0,-0.016479550954997056
AN,1,2011-03-29,1.0,-0.014131450868447134
AN,1,2011-03-30,1.0,0.013239888554849553
AN,1,2011-03-31,1.0,0.03327857365006481
AN,1,2011-04-01,1.0,0.020016786957310715
AN,1,2011-04-04,1.0,-0.02524574316611114
AN,1,2011-04-05,1.0,-0.012307258071513717
AN,1,2011-04-06,1.0,0.08281999757026956
AN,1,2011-04-07,1.0,0.015014907337393212
AN,1,2011-04-08,1.0,0.05935507027488266
AN,1,2011-04-11,1.0,-0.01837816482463187
AN,1,2011-04-12,1.0,-0.022561742546309126
AN,1,2011-04-13,1.0,0.024573409774659674
AN,1,2011-04-14,1.0,0.04095830961340629
AN,1,2011-04-15,1.0,0.02728907773835449
AN,1,2011-04-18,1.0,-0.047576753970732404
AN,1,2011-04-19,1.0,0.004105105086244997
AN,1,2011-04-20,1.0,0.14741421864112714
AN,1,2011-04-21,1.0,0.06683893775522463
AN,1,2011-04-25,1.0,-0.02161461401271357
AN,1,2011-04-26,1.0,0.049436469046926106
AN,1,2011-04-27,-1.0,0.06298557440343923
AN,1,2011-04-28,-1.0,-0.07785145226203834
AN,1,2011-04-29,-1.0,-0.060061274648285624
AN,1,2011-05-02,-1.0,0.010167203667505289
AN,1,2011-05-03,-1.0,0.1088272375205829
AN,1,2011-05-04,-1.0,0.07463285628789502
AN,1,2011-05-05,-1.0,0.14402333098134387
AN,1,2011-05-06,0.0,-0.07311198994756693
AN,1,2011-05-09,1.0,-0.008293387097533854
AN,1,2011-05-10,0.0,0.03920422120248593
AN,1,2011-05-11,0.0,-0.008341562529624065
