episode,cycle,round,ticker,reward,steps,epsilon_end,mean_loss,last_loss,learn_steps,target_updates,replay_size
9,1,1,AN,-10.723519,1112,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,BN,-18.309045,1111,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,CN,-13.156887,1104,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,DX,-20.135917,1115,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,FN,-16.046128,1105,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,JN,-19.200786,1106,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,MP,-16.78914,1103,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,NK,-5.523761,1115,0.290009,0.002206,0.000546,1245,1,5000
9,1,1,SN,-21.319917,1106,0.290009,0.002206,0.000546,1245,1,5000
18,2,1,AN,-6.991028,1112,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,BN,-8.3127,1111,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,CN,-8.547878,1104,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,DX,-8.501126,1115,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,FN,-10.281644,1105,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,JN,-9.254361,1106,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,MP,-6.649625,1103,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,NK,-3.861445,1115,0.280018,0.000966,0.000798,3739,3,5000
18,2,1,SN,-10.792107,1106,0.280018,0.000966,0.000798,3739,3,5000
27,3,1,AN,-4.914569,1112,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,BN,-9.146859,1111,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,CN,-6.737175,1104,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,DX,-9.234449,1115,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,FN,-8.085914,1105,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,JN,-9.771192,1106,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,MP,-7.487656,1103,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,NK,-2.200817,1115,0.270027,0.000885,0.00043,6233,6,5000
27,3,1,SN,-12.498542,1106,0.270027,0.000885,0.00043,6233,6,5000
36,4,1,AN,-8.313878,1112,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,BN,-6.955915,1111,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,CN,-5.768335,1104,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,DX,-8.837228,1115,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,FN,-7.242427,1105,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,JN,-11.327934,1106,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,MP,-5.736913,1103,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,NK,-1.334611,1115,0.260036,0.001031,0.001694,8727,8,5000
36,4,1,SN,-9.300228,1106,0.260036,0.001031,0.001694,8727,8,5000
45,5,1,AN,-5.427018,1112,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,BN,-6.896322,1111,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,CN,-5.740607,1104,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,DX,-8.0966,1115,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,FN,-8.75292,1105,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,JN,-7.923815,1106,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,MP,-8.849734,1103,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,NK,-1.650039,1115,0.250045,0.001024,0.000998,11221,11,5000
45,5,1,SN,-6.952014,1106,0.250045,0.001024,0.000998,11221,11,5000
54,6,1,AN,-2.944111,1112,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,BN,-5.58792,1111,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,CN,-4.686688,1104,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,DX,-9.607025,1115,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,FN,-7.746315,1105,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,JN,-7.573632,1106,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,MP,-5.766499,1103,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,NK,-2.234274,1115,0.240054,0.001049,0.001926,13715,13,5000
54,6,1,SN,-9.601276,1106,0.240054,0.001049,0.001926,13715,13,5000
63,7,1,AN,-5.757337,1112,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,BN,-5.341771,1111,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,CN,-5.220794,1104,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,DX,-6.705011,1115,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,FN,-6.332364,1105,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,JN,-10.271885,1106,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,MP,-7.073546,1103,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,NK,-1.406517,1115,0.230063,0.0012,0.000829,16209,16,5000
63,7,1,SN,-9.035593,1106,0.230063,0.0012,0.000829,16209,16,5000
72,8,1,AN,-5.839649,1112,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,BN,-4.525247,1111,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,CN,-4.600394,1104,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,DX,-6.385312,1115,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,FN,-4.587863,1105,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,JN,-8.116666,1106,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,MP,-6.807823,1103,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,NK,-2.527503,1115,0.220072,0.001159,0.000565,18703,18,5000
72,8,1,SN,-7.404725,1106,0.220072,0.001159,0.000565,18703,18,5000
81,9,1,AN,-4.105679,1112,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,BN,-6.417096,1111,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,CN,-3.962584,1104,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,DX,-6.138733,1115,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,FN,-7.441526,1105,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,JN,-7.694816,1106,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,MP,-7.075865,1103,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,NK,-1.707865,1115,0.210081,0.001159,0.002353,21197,21,5000
81,9,1,SN,-8.479935,1106,0.210081,0.001159,0.002353,21197,21,5000
90,10,1,AN,-3.978058,1112,0.20009,0.00093,0.001561,23691,23,5000
90,10,1,BN,-5.626926,1111,0.20009,0.00093,0.001561,23691,23,5000
90,10,1,CN,-5.067322,1104,0.20009,0.00093,0.001561,23691,23,5000
