date,asset,DQN_cum_return,Long_cum_return
2011-01-03,Equity Index,0.0,0.09273
2011-01-04,Equity Index,-0.020678,0.090704
2011-01-05,Equity Index,-0.065363,0.134717
2011-01-06,Equity Index,-0.092153,0.128285
2011-01-07,Equity Index,-0.117729,0.092801
2011-01-10,Equity Index,-0.178928,0.06998
2011-01-11,Equity Index,-0.127905,0.120849
2011-01-12,Equity Index,-0.021858,0.223992
2011-01-13,Equity Index,-0.034391,0.215856
2011-01-14,Equity Index,-0.093467,0.261511
2011-01-17,Equity Index,-0.119322,0.244307
2011-01-18,Equity Index,-0.126169,0.308488
2011-01-19,Equity Index,-0.018201,0.190047
2011-01-20,Equity Index,-0.015591,0.14122
2011-01-21,Equity Index,-0.038298,0.170344
2011-01-24,Equity Index,-0.094829,0.235013
2011-01-25,Equity Index,-0.126316,0.220121
2011-01-26,Equity Index,-0.085195,0.27246
2011-01-27,Equity Index,-0.08592,0.293895
2011-01-28,Equity Index,-0.167256,0.131989
2011-01-31,Equity Index,-0.168875,0.175091
2011-02-01,Equity Index,-0.130344,0.304072
2011-02-02,Equity Index,-0.137816,0.301607
2011-02-03,Equity Index,-0.157607,0.313223
2011-02-04,Equity Index,-0.163701,0.337596
2011-02-07,Equity Index,-0.213519,0.394284
2011-02-08,Equity Index,-0.246557,0.443435
2011-02-09,Equity Index,-0.257603,0.422714
2011-02-10,Equity Index,-0.267998,0.420521
2011-02-11,Equity Index,-0.325928,0.475858
2011-02-14,Equity Index,-0.327194,0.478169
2011-02-15,Equity Index,-0.314808,0.467895
2011-02-16,Equity Index,-0.395374,0.530823
2011-02-17,Equity Index,-0.428891,0.555141
2011-02-18,Equity Index,-0.463018,0.573849
2011-02-21,Equity Index,-0.32938,0.48445
2011-02-22,Equity Index,-0.094174,0.303612
2011-02-23,Equity Index,-0.021644,0.229245
2011-02-24,Equity Index,-0.012679,0.216784
2011-02-25,Equity Index,-0.038069,0.328797
2011-02-28,Equity Index,-0.047207,0.372585
2011-03-01,Equity Index,-0.191106,0.232579
2011-03-02,Equity Index,-0.18248,0.24831
2011-03-03,Equity Index,-0.045778,0.369562
2011-03-04,Equity Index,-0.127547,0.308899
2011-03-07,Equity Index,-0.19711,0.244056
2011-03-08,Equity Index,-0.118978,0.300791
2011-03-09,Equity Index,-0.153781,0.265529
2011-03-10,Equity Index,-0.241718,0.19272
2011-03-11,Equity Index,-0.226836,0.21398
2011-03-14,Equity Index,-0.320688,0.144675
2011-03-15,Equity Index,-0.457572,0.030315
2011-03-16,Equity Index,-0.614165,-0.092213
2011-03-17,Equity Index,-0.49075,-0.004841
2011-03-18,Equity Index,-0.440949,0.028297
2011-03-21,Equity Index,-0.265182,0.145254
2011-03-22,Equity Index,-0.291504,0.127739
2011-03-23,Equity Index,-0.280883,0.147953
2011-03-24,Equity Index,-0.241526,0.232206
2011-03-25,Equity Index,-0.272133,0.253977
2011-03-28,Equity Index,-0.267846,0.225218
2011-03-29,Equity Index,-0.286347,0.284249
2011-03-30,Equity Index,-0.300277,0.332721
2011-03-31,Equity Index,-0.29515,0.315304
2011-04-01,Equity Index,-0.297878,0.370437
2011-04-04,Equity Index,-0.302279,0.374324
2011-04-05,Equity Index,-0.323024,0.367938
2011-04-06,Equity Index,-0.299587,0.387053
2011-04-07,Equity Index,-0.309168,0.376381
2011-04-08,Equity Index,-0.281733,0.355955
2011-04-11,Equity Index,-0.262262,0.333906
2011-04-12,Equity Index,-0.265105,0.246325
2011-04-13,Equity Index,-0.248529,0.26728
2011-04-14,Equity Index,-0.289133,0.262686
2011-04-15,Equity Index,-0.332184,0.304092
