date,regime,regime_prob_0,regime_prob_1,regime_prob_2
2004-07-06,1,2.4804467828835205e-27,1.0,0.0
2004-07-07,1,2.1993754066398003e-27,1.0,0.0
2004-07-08,1,5.685501187790768e-25,1.0,0.0
2004-07-09,1,1.3794575645006693e-23,1.0,0.0
2004-07-12,1,2.902802524453593e-25,1.0,0.0
2004-07-13,1,6.694694229433203e-25,1.0,0.0
2004-07-14,1,1.8381823761908796e-25,1.0,0.0
2004-07-15,1,1.7820972732591356e-27,1.0,0.0
2004-07-16,1,3.6841249565380384e-24,1.0,0.0
2004-07-19,1,2.108254640100229e-20,1.0,0.0
2004-07-20,1,4.692948093394689e-18,1.0,0.0
2004-07-21,1,2.5688651958351954e-18,1.0,0.0
2004-07-22,1,1.0112882443093806e-18,1.0,0.0
2004-07-23,1,4.410780304101564e-17,1.0,0.0
2004-07-26,1,4.484329257600572e-19,1.0,0.0
2004-07-27,1,4.869349136315659e-24,1.0,0.0
2004-07-28,1,2.1172622454166374e-26,1.0,0.0
2004-07-29,1,1.4486631137594602e-25,1.0,0.0
2004-07-30,1,7.829577721169123e-29,1.0,0.0
2004-08-02,1,8.554888914009272e-30,1.0,0.0
2004-08-03,1,2.957898938559796e-34,1.0,0.0
2004-08-04,1,7.28251943736536e-31,1.0,0.0
2004-08-05,1,9.643510645861798e-30,1.0,0.0
2004-08-06,1,5.749316745515751e-27,1.0,0.0
2004-08-09,1,8.004228448712845e-29,1.0,0.0
2004-08-10,1,2.4666509238605874e-27,1.0,0.0
2004-08-11,1,4.086512871236115e-26,1.0,2.4516788678103305e-292
2004-08-12,1,2.0052869355530628e-23,1.0,1.2981339945960402e-268
2004-08-13,1,5.897791862894359e-24,1.0,1.3533532025799117e-259
2004-08-16,1,1.8343366296077536e-25,1.0,3.605084842325713e-202
2004-08-17,1,1.4021960859474898e-24,1.0,8.479769302443526e-216
2004-08-18,1,1.3482748348570638e-23,1.0,0.0
2004-08-19,1,1.0873897487254836e-22,1.0,0.0
2004-08-20,1,5.789946204136892e-22,1.0,0.0
2004-08-23,1,4.642622408953617e-21,1.0,1.317251864441351e-232
2004-08-24,1,1.0300089215790204e-23,1.0,2.130569143589744e-191
2004-08-25,1,9.418496122321308e-20,1.0,1.1323316773771922e-235
2004-08-26,1,5.570932057715472e-18,1.0,1.2783607012633e-311
2004-08-27,1,1.6903839894661172e-15,1.0,0.0
2004-08-30,1,2.805022561938767e-17,1.0,0.0
2004-08-31,1,6.204207086126324e-19,1.0,0.0
2004-09-01,1,1.2675491840672813e-19,1.0,0.0
2004-09-02,1,1.2991866751264422e-19,1.0,0.0
2004-09-03,1,2.0742149653078858e-16,1.0,0.0
2004-09-06,1,1.0816443506529056e-14,1.0,0.0
2004-09-07,1,4.900182175348866e-14,1.0,0.0
2004-09-08,1,2.1978129659789974e-14,1.0,1.1835339684573083e-249
2004-09-09,1,4.499093545714186e-15,1.0,1.2982781250385882e-186
2004-09-10,1,8.180230351204518e-17,1.0,2.7660254843388604e-258
2004-09-13,1,3.058914694271097e-20,1.0,0.0
2004-09-14,1,4.6823677383201e-22,1.0,0.0
2004-09-15,1,4.1144126139523267e-20,1.0,0.0
2004-09-16,1,8.397149587280623e-17,1.0,0.0
2004-09-17,1,7.693098535298536e-15,1.0,0.0
2004-09-20,1,4.5778714899793525e-12,0.9999999999954525,0.0
2004-09-21,1,7.861623137061185e-12,0.9999999999921556,0.0
2004-09-22,1,3.834722656449565e-11,0.9999999999616875,0.0
2004-09-23,1,5.8051716394387216e-11,0.999999999941906,0.0
2004-09-24,1,2.7820991740489924e-09,0.9999999972178557,0.0
2004-09-27,1,4.079303330866366e-12,0.9999999999959073,0.0
2004-09-28,1,9.30685072058005e-13,0.9999999999990905,0.0
2004-09-29,1,3.0619751260378327e-13,0.9999999999996589,0.0
2004-09-30,1,1.3034496214982428e-12,0.9999999999987494,0.0
2004-10-01,1,1.1899399926262677e-11,0.9999999999880629,0.0
2004-10-04,1,2.860025245726438e-11,0.9999999999713509,3.101358828433377e-262
2004-10-05,1,3.294386308393526e-11,0.9999999999670308,6.171161403455879e-251
2004-10-06,1,9.650575368559611e-10,0.9999999990349124,0.0
2004-10-07,1,6.239217969746004e-10,0.9999999993760866,0.0
2004-10-08,1,6.255281792024138e-10,0.999999999374495,0.0
2004-10-11,1,1.4620383717625589e-10,0.9999999998537987,0.0
2004-10-12,1,4.108205023623835e-11,0.999999999958959,0.0
2004-10-13,1,2.3041879984632536e-14,1.0,0.0
2004-10-14,1,8.84635914155349e-16,1.0,0.0
2004-10-15,1,5.6932699339047356e-15,1.0,0.0
2004-10-18,1,4.047295840503985e-15,1.0,0.0
2004-10-19,1,1.4162636400532945e-15,1.0,6.071935031045306e-218
2004-10-20,1,1.598240335912524e-17,1.0,1.1313332536974443e-192
2004-10-21,1,2.7038817965582505e-15,1.0,5.18497316995379e-166
2004-10-22,1,8.276741588916987e-16,1.0,4.2202732351628825e-151
2004-10-25,1,1.7391609985692482e-15,1.0,1.8354270036875145e-147
2004-10-26,1,8.098245294548842e-17,1.0,3.2617786662952936e-149
2004-10-27,1,6.6288862634787644e-18,1.0,1.6238400006786326e-156
2004-10-28,1,1.5999137853727045e-20,1.0,2.8608450356435983e-129
2004-10-29,1,2.5994172211212958e-21,1.0,7.184813102167376e-174
2004-11-01,1,5.898154792616056e-19,1.0,5.195049731174775e-200
2004-11-02,1,9.082081557526887e-17,1.0,6.638778094650196e-232
2004-11-03,1,1.7392230022742189e-15,1.0,1.7602915797388596e-248
2004-11-04,1,2.202058374754964e-17,1.0,5.3521741607418735e-248
2004-11-05,1,1.1984871029781536e-20,1.0,6.404796554490328e-194
2004-11-08,1,2.0447831425820764e-22,1.0,1.5430411234706402e-166
2004-11-09,1,1.423449021498742e-24,1.0,2.3309132916320725e-215
2004-11-10,1,2.7230398592777645e-28,1.0,0.0
2004-11-11,1,1.923175722298291e-30,1.0,0.0
2004-11-12,1,1.3490451907206391e-30,1.0,0.0
2004-11-15,1,8.226580584696649e-27,1.0,0.0
2004-11-16,1,2.545148709472637e-25,1.0,0.0
2004-11-17,1,8.985364758815191e-29,1.0,2.3274716218449727e-272
2004-11-18,1,7.527761106124596e-25,1.0,1.3142182183510446e-266
2004-11-19,1,2.552075320916011e-21,1.0,1.6964388510647778e-277
2004-11-22,1,1.2257522982627951e-20,1.0,5.0619960099073316e-262
2004-11-23,1,3.576475027069161e-21,1.0,7.254677303642477e-216
2004-11-24,1,5.062303335870442e-24,1.0,4.878308838325688e-240
2004-11-25,1,2.7041307030843756e-23,1.0,0.0
2004-11-26,1,1.2354003721242033e-22,1.0,0.0
2004-11-29,1,1.3398760529627342e-23,1.0,0.0
2004-11-30,1,8.76482603876472e-26,1.0,1.8109321383351951e-304
2004-12-01,1,7.693916764665277e-29,1.0,1.166764787102639e-147
2004-12-02,1,2.520860657364472e-27,1.0,1.8169643430222068e-118
2004-12-03,1,6.871275714764711e-33,1.0,3.387258415810449e-116
2004-12-06,1,2.125706527200894e-33,1.0,1.2745577059492554e-199
2004-12-07,1,1.7162333977425236e-29,1.0,1.1678529473512429e-306
2004-12-08,1,1.1496486316109154e-22,1.0,0.0
2004-12-09,1,3.670857014687608e-21,1.0,0.0
2004-12-10,1,2.7790706286425585e-23,1.0,0.0
2004-12-13,1,1.132748198151199e-24,1.0,0.0
2004-12-14,1,3.524191023453219e-27,1.0,0.0
2004-12-15,1,2.1358613143113978e-30,1.0,0.0
2004-12-16,1,3.4343527408345103e-35,1.0,0.0
2004-12-17,1,9.957763040759213e-34,1.0,0.0
2004-12-20,1,3.584697517219822e-31,1.0,0.0
2004-12-21,1,2.607681402983797e-31,1.0,0.0
2004-12-22,1,3.677847939063283e-29,1.0,0.0
2004-12-23,1,1.9335738931201853e-27,1.0,0.0
2004-12-24,1,2.7749620852753362e-27,1.0,0.0
2004-12-27,1,2.17724032540632e-28,1.0,0.0
2004-12-28,1,1.9819502043425853e-32,1.0,0.0
2004-12-29,1,1.4492894581781836e-33,1.0,0.0
2004-12-30,1,7.151225173207973e-35,1.0,0.0
2004-12-31,1,9.829109500256868e-32,1.0,0.0
2005-01-03,1,2.35127683552217e-30,1.0,0.0
2005-01-04,1,9.935886608988524e-31,1.0,0.0
2005-01-05,1,9.989199813295544e-31,1.0,0.0
2005-01-06,1,2.3058076706329834e-33,1.0,0.0
2005-01-07,1,4.3115953420075235e-33,1.0,0.0
2005-01-10,1,1.6406434874891968e-30,1.0,0.0
2005-01-11,1,3.6999940645551803e-26,1.0,0.0
2005-01-12,1,6.1862293734656726e-24,1.0,0.0
2005-01-13,1,1.5200750579771597e-19,1.0,0.0
2005-01-14,1,3.542821763051559e-24,1.0,0.0
