date,regime,regime_prob_0,regime_prob_1,regime_prob_2
2004-05-26,0,0.9999999973089189,2.6910471453266025e-09,2.0029210772279533e-158
2004-05-27,0,0.9999999329764955,6.702354102873696e-08,2.763246740393657e-135
2004-05-28,0,0.9978893603461709,0.002110639653859625,2.074311635242133e-83
2004-05-31,0,0.9999975509685304,2.449031502914095e-06,6.138409755018353e-63
2004-06-01,0,0.9999999946296612,5.370395172611942e-09,6.922372771108175e-55
2004-06-02,0,0.955574923442556,0.044425076557388005,2.8474818260621063e-53
2004-06-03,0,0.999999999998181,1.7712444020743597e-12,9.517639107091457e-88
2004-06-04,0,1.0,7.118101944108159e-24,2.7506721690686668e-108
2004-06-07,0,1.0,7.696352410735617e-30,3.7187129214468855e-128
2004-06-08,0,1.0,3.281601085890401e-36,5.837694173965848e-132
2004-06-09,0,1.0,2.9872751659032024e-35,4.1617078292271295e-121
2004-06-10,0,1.0,2.4383500711754305e-37,3.877131270567073e-124
2004-06-11,0,1.0,4.2030320601008456e-34,3.9385408313145546e-128
2004-06-14,0,1.0,3.308964400684772e-25,4.846775120613393e-127
2004-06-15,0,1.0,4.943998183133679e-27,8.010312389237109e-139
2004-06-16,0,1.0,1.2148550380203485e-30,1.4123167816956257e-150
2004-06-17,0,1.0,3.356190229468618e-25,8.028178673605122e-146
2004-06-18,0,1.0,4.1667315512650213e-39,3.971568641532872e-155
2004-06-21,0,1.0,9.904833827285667e-37,4.0644599454903703e-151
2004-06-22,0,1.0,5.439874599856469e-30,1.0819215258373898e-139
2004-06-23,0,1.0,5.642970806703373e-24,4.905065157068358e-125
2004-06-24,0,0.999999999992724,7.265635921454851e-12,6.547465151136195e-107
2004-06-25,0,0.9999990743912994,9.256087219721666e-07,4.2260326725674514e-109
2004-06-28,1,0.4795336996085195,0.5204663003915231,5.82903932054835e-103
2004-06-29,0,0.9314569942705868,0.06854300572941809,4.411402412127682e-87
2004-06-30,0,0.9619111527753961,0.03808884722461374,9.230633323618824e-91
2004-07-01,0,0.9999994901768495,5.098231721081105e-07,6.463451018516908e-94
2004-07-02,0,0.9999679366012014,3.206339883458177e-05,1.6524847846181314e-102
2004-07-05,0,0.9999999939668669,6.033134012247876e-09,1.6218408030550016e-129
2004-07-06,0,1.0,1.6088814794216882e-14,3.7644084352796295e-158
2004-07-07,0,1.0,2.4345140636693862e-17,1.0264892799573658e-174
2004-07-08,0,1.0,1.1505879086778873e-19,4.527390348708794e-178
2004-07-09,0,1.0,2.486334821693852e-21,5.287011970992353e-178
2004-07-12,0,1.0,3.457772049612328e-30,3.97991106193847e-193
2004-07-13,0,1.0,8.057766082777611e-30,2.1280722462585263e-202
2004-07-14,0,1.0,8.043330939167881e-35,1.06485342799596e-219
2004-07-15,0,1.0,2.67651561952357e-38,5.3118199362883876e-232
2004-07-16,0,1.0,2.2305449063289407e-41,1.964678718706817e-232
2004-07-19,0,1.0,3.322648236124461e-43,7.365421905913292e-201
2004-07-20,0,1.0,1.7431790829633213e-46,1.4254452107683714e-184
2004-07-21,0,1.0,1.1670462566706427e-41,2.610267290690297e-165
2004-07-22,0,1.0,3.48183711742498e-42,3.361438676604894e-138
2004-07-23,0,1.0,1.0669036087215175e-49,3.009513578155214e-123
2004-07-26,0,0.999999999958959,4.104090802352037e-11,2.698809041192634e-93
2004-07-27,0,0.99999999995498,4.504531660376166e-11,8.05234572415954e-92
2004-07-28,0,0.999999999996021,3.982375376144292e-12,1.6833860319068326e-90
2004-07-29,0,1.0,3.336681017211136e-14,6.322292180746392e-98
2004-07-30,0,1.0,2.9106255321040385e-18,3.923941005188742e-102
2004-08-02,0,1.0,4.006977672918133e-22,1.8775493085168457e-107
2004-08-03,0,1.0,1.1447604639541546e-24,8.928387914167925e-114
2004-08-04,0,1.0,3.725510799801785e-20,1.8549632940601347e-113
2004-08-05,0,1.0,3.15036522620176e-23,6.63571691169869e-114
2004-08-06,0,1.0,6.070625737502087e-28,1.1147327904059634e-109
2004-08-09,0,1.0,1.0770679463477798e-28,1.1259903290225305e-121
2004-08-10,0,1.0,3.28464406304713e-33,2.795821148683814e-122
2004-08-11,0,1.0,1.6974264158368713e-33,5.651308545654058e-119
2004-08-12,0,1.0,6.809542061782754e-32,2.489223753146922e-118
2004-08-13,0,1.0,6.114197984498441e-27,6.350549205389937e-115
2004-08-16,0,1.0,1.721478213038025e-24,1.1896337204243439e-114
2004-08-17,0,1.0,1.3370464756153766e-20,1.8533122159679278e-116
2004-08-18,0,1.0,3.177094834123119e-18,3.7752012336080577e-115
2004-08-19,0,1.0,6.175284419833458e-16,3.151235683690343e-88
2004-08-20,0,1.0,7.631869478245229e-19,1.3442483246007212e-71
2004-08-23,0,0.9999987003481497,1.2996518794604321e-06,1.0843497264558267e-48
2004-08-24,0,0.9999240750512687,7.592494870680254e-05,4.622487252438932e-50
2004-08-25,0,0.9377360914495148,0.062263908550527,1.0795802638972712e-54
2004-08-26,0,0.999490486456996,0.0005095135430583183,1.368006697055428e-70
2004-08-27,0,0.9999786609509671,2.1339049075510013e-05,3.560410993922536e-69
2004-08-30,0,0.999967828538398,3.2171461557864575e-05,5.129097863642614e-60
2004-08-31,0,0.9999999824965472,1.750348153127129e-08,7.304671388511747e-63
2004-09-01,0,0.999999999857323,1.4264393930038016e-10,4.987998034640282e-70
2004-09-02,0,0.9999999999971578,2.8935072065129764e-12,1.5787607896255584e-61
2004-09-03,0,0.9999999999998863,1.170580936940843e-13,4.9549185670024245e-56
2004-09-06,0,1.0,5.477534508175422e-16,8.21139734172356e-57
2004-09-07,0,0.9999999999992042,7.884663316356737e-13,7.055260439925736e-54
2004-09-08,0,1.0,4.322183106111833e-15,4.062056791188735e-59
2004-09-09,0,0.9999999998127578,1.8725455168774386e-10,5.705406886279241e-57
2004-09-10,0,0.9999999990112656,9.887196260809484e-10,3.9691023796994794e-55
2004-09-13,0,0.9999999941150008,5.8850434076546525e-09,2.4899845404311825e-57
2004-09-14,0,0.9999999999901092,9.852438651157451e-12,6.706100825298286e-60
2004-09-15,0,0.9999999999739657,2.6083794181840043e-11,1.4022899137892975e-62
2004-09-16,0,0.9999999999926104,7.343464351651235e-12,9.649002903716582e-61
2004-09-17,0,0.6401027936807432,0.3598972063193091,3.1617484639698373e-45
2004-09-20,0,0.8239613780349628,0.17603862196499628,4.1347737716340515e-50
2004-09-21,0,0.9992265596317562,0.0007734403682845111,1.9284173172572402e-43
2004-09-22,0,0.9999759986523713,2.400134764345103e-05,7.416041390089329e-46
2004-09-23,0,0.9999999893641417,1.063580469711308e-08,1.500188791905252e-59
2004-09-24,1,0.006444575849472357,0.9935554241505712,1.8668966799217538e-72
2004-09-27,1,3.172796672780281e-06,0.9999968272033213,3.277253936819312e-71
2004-09-28,1,2.3907404951688233e-07,0.9999997609259311,3.5411235178616915e-73
2004-09-29,1,0.00022128983411862495,0.9997787101659191,8.541835004491889e-79
2004-09-30,0,0.9963644962628104,0.0036355037371831873,6.623505433847273e-97
2004-10-01,0,0.9999999998034355,1.9652030626300352e-10,6.175406887947594e-110
2004-10-04,0,0.9999999999990905,8.696998273850885e-13,2.4972278636559146e-109
2004-10-05,0,0.9999999999984084,1.5528805129962563e-12,5.468027447964712e-108
2004-10-06,0,1.0,1.2928685737530677e-14,1.0346197342254756e-103
2004-10-07,0,1.0,1.0149119964263863e-18,8.863473143761077e-98
2004-10-08,0,1.0,1.584503448916713e-20,3.113629899774327e-105
2004-10-11,0,1.0,1.104366834450102e-18,2.4181069468104316e-116
2004-10-12,0,1.0,1.8489610580160803e-19,1.0105707354613627e-118
2004-10-13,0,1.0,1.1451396552066575e-28,2.335457313003894e-112
2004-10-14,0,1.0,6.678217327638569e-19,8.450701575837985e-92
2004-10-15,0,0.9999999995881126,4.11939770185708e-10,9.609433321306527e-79
2004-10-18,0,0.9999999150287558,8.497120646559106e-08,1.9802090442412806e-80
2004-10-19,0,0.9999973110661585,2.6889338208587373e-06,8.665046666833889e-89
2004-10-20,0,0.9967092155433339,0.0032907844566878904,1.3786319011655162e-85
2004-10-21,0,0.9465802187397357,0.053419781260312174,2.6998490285194744e-91
2004-10-22,0,0.9906675175372974,0.009332482462655254,4.670289310920495e-87
2004-10-25,0,0.9999999750627925,2.493716989624493e-08,8.215007059874122e-92
2004-10-26,0,0.9999999999787406,2.127340437922585e-11,7.356529367654995e-96
2004-10-27,0,1.0,1.6544765580475205e-16,7.238915304739016e-96
2004-10-28,0,0.9999999999993179,7.322933759437246e-13,9.657032157165927e-107
2004-10-29,1,0.005753372311349528,0.9942466276885952,1.1532279269188289e-66
2004-11-01,1,2.4946162606462196e-08,0.9999999750538112,5.218040661610544e-70
2004-11-02,1,8.302646349131594e-10,0.999999999169745,4.328401108691555e-64
2004-11-03,1,1.292533961991124e-08,0.9999999870747162,6.244487862042813e-64
2004-11-04,1,0.006852409937950989,0.9931475900620583,3.663997010403992e-56
2004-11-05,1,0.000954964646393406,0.9990450353536395,1.2167714811324876e-55
2004-11-08,1,3.528434797850305e-05,0.999964715651985,9.012974697887214e-59
2004-11-09,1,1.4637838289838882e-10,0.9999999998535714,8.2124688228362e-58
2004-11-10,1,1.439369760758716e-08,0.999999985606337,2.328859994395383e-62
2004-11-11,1,1.6820707467054866e-09,0.9999999983178895,9.259992949924458e-68
2004-11-12,1,7.384209862765677e-11,0.9999999999261036,7.079916841380512e-62
2004-11-15,1,1.751417193373932e-10,0.9999999998248086,1.7880161747551565e-49
2004-11-16,1,6.665470439689917e-07,0.9999993334529284,1.3946695338652466e-40
2004-11-17,1,4.08360836357858e-05,0.9999591639163236,6.354243411340091e-35
2004-11-18,1,0.0003128837429064617,0.9996871162570677,2.7644374930074058e-34
2004-11-19,1,0.021438181610798777,0.9785618183892517,1.271640324680585e-29
2004-11-22,0,0.9991741587416288,0.0008258412583180772,1.728634009128094e-24
2004-11-23,0,0.9999999913628699,8.637141231645163e-09,3.3961496257605014e-23
2004-11-24,0,0.9996514633794596,0.000348536620489339,3.693558916929515e-24
2004-11-25,1,0.001353075856986391,0.9986469241430347,1.8669386185675374e-28
