model,E(R),Std(R),DD,Sharpe,Sortino,MDD,Calmar,% +Ret,Ave.P/Ave.L,asset_class
Long,-0.5057941601469088,0.9885257849449378,0.6557222574208852,-0.5116651157208633,-0.7713542653505769,6.332914363388297,-0.07986751930059163,0.4988662131519274,0.9240515590083315,Commodity
Sign(R),-0.5427114203845091,0.988617385502736,0.6310127628267691,-0.5489600206742542,-0.8600640943509709,6.089411809325623,-0.08912378360638615,0.48707482993197276,0.9634795025432725,Commodity
MACD,-1.074184278871725,0.9909726631593627,0.6403767533260604,-1.0839696379182366,-1.6774254738206948,9.894271877610617,-0.10856627876806751,0.47346938775510206,0.9307795353133935,Commodity
A2C,-0.4740670957944671,0.9893251755950537,0.6534240329573342,-0.4791822825183114,-0.7255121818046469,6.275504180753194,-0.0755424715114394,0.4978396543446951,0.9330009303133824,Commodity
Long,0.5629906787653217,1.0044557859855034,0.7897136091590337,0.5604932408378271,0.7129048711277126,1.808169718983244,0.31135942210220086,0.547787610619469,0.9089908545078771,Equity Index
Sign(R),0.038282862093244094,1.0162846385274447,0.7668955189350479,0.037669429057507364,0.049919266898841345,3.150029827826052,0.012153174473165057,0.5172566371681416,0.9395371036958704,Equity Index
MACD,-0.4476392286400948,1.0090373294763466,0.7949419684446654,-0.44362999818094256,-0.5631093166661187,4.878821248476719,-0.09175151247442365,0.5061946902654867,0.9002172233272719,Equity Index
A2C,0.5523060915877588,1.0022711316832267,0.7950071282298988,0.5510545740853665,0.6947184144341959,1.8082764971324052,0.30543232324460057,0.5481758652946679,0.9066769157508077,Equity Index
Long,0.5635613861957729,1.0000035522087216,0.6666710351081101,0.5635593843152128,0.8453365400888962,2.280054633926356,0.24717012382518877,0.5250110668437362,0.9925539947279938,Fixed Income
Sign(R),-0.2895753553123701,1.0043331428440285,0.7141709134827473,-0.28832599757921235,-0.40547066513843055,5.489288110664043,-0.05275280682568144,0.5130588756086764,0.9040796503052819,Fixed Income
MACD,-0.8148933745590703,1.00699378774222,0.6955316603091861,-0.8092337653702335,-1.171612194039915,10.188871154188393,-0.07997876921076658,0.468348826914564,0.9868140437858567,Fixed Income
A2C,0.35033080595789073,0.9993900241198743,0.6724897321268174,0.35054462972693173,0.520945955338134,2.4631141606420206,0.14223084400869815,0.5187265917602997,0.9831311746238769,Fixed Income
Long,-0.40664216560695154,1.0019018055395612,0.6481309657033801,-0.40587027926150876,-0.627407402399985,5.517767291605988,-0.07369686761265991,0.48875165416850463,0.9779934383351181,FX
Sign(R),-0.9093958830105523,1.0040960315364456,0.70407339459922,-0.9056861639210094,-1.2916208593966374,9.092361936073269,-0.10001756302755523,0.4838994265549184,0.9152511558257683,FX
MACD,-1.10686200347433,1.0068799985263002,0.704036668264982,-1.0992988291498158,-1.5721652768485268,10.746547555726297,-0.10299698556533522,0.46449051610057346,0.9526998760718821,FX
A2C,-0.5100663920349104,0.9982368420869026,0.647897369761599,-0.510967308087499,-0.787264180780044,5.714296912034821,-0.08926144368884034,0.48205128205128206,0.9865813237238448,FX
Long,0.1446033627154771,0.9948004701727512,0.69944988181918,0.14535916201403296,0.2067387049081804,3.936405951280377,0.036734870464374396,0.5207231040564374,0.9427300178637148,All
Sign(R),-0.441256636994179,0.9997406835306941,0.7029000651814012,-0.44137109178735495,-0.6277658217036891,5.630114166205354,-0.07837436754707622,0.49955908289241624,0.9298385180643551,All
MACD,-1.1607106806844014,0.99498783825512,0.6911056221399483,-1.1665576563427191,-1.6794982467229278,11.204943968363581,-0.10358915528373826,0.46825396825396826,0.9322363400536243,All
A2C,0.07717356308129492,0.9904144245245297,0.6956390666416655,0.07792047568202956,0.11093908721065003,3.698536821862695,0.02086597127412888,0.5242311276794035,0.9192740363256344,All
