asset_class,model,metric,your_value,paper_value,pct_diff_vs_paper,abs_diff
Commodity,Long,E(R),-0.1947872432261973,-0.298,34.63515327979956,0.10321275677380268
Commodity,Long,Std(R),0.40385760162417195,0.412,-1.9763102853951533,-0.00814239837582803
Commodity,Long,DD,0.274290994885572,0.258,6.314339102934887,0.016290994885572008
Commodity,Long,Sharpe,-0.4823166443885967,-0.723,33.28953742896311,0.24068335561140325
Commodity,Long,Sortino,-0.7101481523571641,-1.152,38.35519510788505,0.4418518476428358
Commodity,Long,MDD,2.634746464578309,0.248,962.3977679751246,2.3867464645783087
Commodity,Long,Calmar,-0.07393016589828616,-0.13,43.13064161670296,0.056069834101713845
Commodity,Long,% +Ret,0.5011037527593819,0.473,5.9415967778820145,0.028103752759381928
Commodity,Long,Ave.P/Ave.L,0.9198458275925003,0.987,-6.803867518490341,-0.06715417240749966
Commodity,Sign(R),E(R),-0.14792946571050622,0.101,-246.46481753515465,-0.24892946571050623
Commodity,Sign(R),Std(R),0.3108643056706647,0.312,-0.36400459273567365,-0.0011356943293353017
Commodity,Sign(R),DD,0.20530750171075818,0.185,10.977027951761178,0.02030750171075818
Commodity,Sign(R),Sharpe,-0.4758650736415695,0.325,-246.42002265894445,-0.8008650736415694
Commodity,Sign(R),Sortino,-0.7205263542630438,0.548,-231.48291136186933,-1.2685263542630438
Commodity,Sign(R),MDD,1.78320154538209,0.082,2074.636030953768,1.70120154538209
Commodity,Sign(R),Calmar,-0.08295723278930262,0.115,-172.13672416461094,-0.1979572327893026
Commodity,Sign(R),% +Ret,0.4891832229580574,0.494,-0.975056081364901,-0.00481677704194261
Commodity,Sign(R),Ave.P/Ave.L,0.9658713580393209,1.081,-10.650198146223781,-0.11512864196067907
Commodity,MACD,E(R),-0.2558979234494101,-0.039,-556.148521665154,-0.21689792344941008
Commodity,MACD,Std(R),0.2387909716392353,0.227,5.194260634024355,0.011790971639235287
Commodity,MACD,DD,0.15566295423599852,0.136,14.45805458529302,0.01966295423599851
Commodity,MACD,Sharpe,-1.0716398601368393,-0.174,-515.8849770901377,-0.8976398601368394
Commodity,MACD,Sortino,-1.6439230817979125,-0.29,-466.8700282061767,-1.3539230817979124
Commodity,MACD,MDD,2.5943367576514045,0.132,1865.4066345843971,2.4623367576514044
Commodity,MACD,Calmar,-0.09863712669324734,-0.059,-67.18157066652093,-0.03963712669324734
Commodity,MACD,% +Ret,0.4750551876379691,0.486,-2.252019004533102,-0.010944812362030876
