date,daily_pnl,cum_wealth,asset_class,model
2011-01-05,0.011125954734834806,1.0111259547348348,All,Sign(R)
2011-01-06,-0.0056760351434833045,1.0053867682812718,All,Sign(R)
2011-01-07,-0.001009848214799093,1.0043714802481403,All,Sign(R)
2011-01-10,0.008187922228163726,1.0125951958165977,All,Sign(R)
2011-01-11,0.026931014020724654,1.039865411232453,All,Sign(R)
2011-01-12,0.025887552924883872,1.0667849821004893,All,Sign(R)
2011-01-13,-0.012559914265537932,1.0533862541855439,All,Sign(R)
2011-01-14,-0.010316018619180311,1.0425195019741773,All,Sign(R)
2011-01-17,-0.018382432616686567,1.0233554574775554,All,Sign(R)
2011-01-18,0.02164869630712869,1.0455097689907298,All,Sign(R)
2011-01-19,-0.03590992885782094,1.0079655875661158,All,Sign(R)
2011-01-20,-0.04130614585122406,0.966330413993095,All,Sign(R)
2011-01-21,0.01533676013495469,0.9811507917636187,All,Sign(R)
2011-01-24,0.011851477358070555,0.9927788781570582,All,Sign(R)
2011-01-25,-0.014015416630370776,0.9788646685578549,All,Sign(R)
2011-01-26,0.021924775778342717,1.0003260569333277,All,Sign(R)
2011-01-27,0.0045701520931994855,1.0048976991563037,All,Sign(R)
2011-01-28,-0.027213714328663395,0.9775507002419329,All,Sign(R)
2011-01-31,0.023778763133976803,1.000795646794439,All,Sign(R)
2011-02-01,0.042252489389238146,1.0430817542414168,All,Sign(R)
2011-02-02,7.748482641897517e-05,1.043162577250085,All,Sign(R)
2011-02-03,0.0022061041586456083,1.0454639025499,All,Sign(R)
2011-02-04,-0.004629511111106233,1.0406239157967847,All,Sign(R)
2011-02-07,0.008982211627999228,1.0499710200336285,All,Sign(R)
2011-02-08,0.00967725135150116,1.060131853506286,All,Sign(R)
2011-02-09,-0.002251524606555136,1.0577449405519237,All,Sign(R)
2011-02-10,-0.009162379195839749,1.048053480314106,All,Sign(R)
2011-02-11,0.009228412438272543,1.0577253500878114,All,Sign(R)
2011-02-14,0.014729047311023763,1.073304636811324,All,Sign(R)
2011-02-15,-0.0140131516252334,1.0582642561956208,All,Sign(R)
2011-02-16,0.03835678183484639,1.0988558673941322,All,Sign(R)
2011-02-17,0.04634752168403364,1.1497851135358095,All,Sign(R)
2011-02-18,0.0012090983052052695,1.151175316767936,All,Sign(R)
2011-02-21,-0.03190573210679917,1.1144462255031786,All,Sign(R)
2011-02-22,-0.06811501419257969,1.0385357050361628,All,Sign(R)
2011-02-23,-0.010404558397965852,1.0277301996447414,All,Sign(R)
2011-02-24,0.004189435283262637,1.0320358088048076,All,Sign(R)
2011-02-25,0.047541621828759775,1.081100464940744,All,Sign(R)
2011-02-28,0.029674490826291772,1.113181570769928,All,Sign(R)
2011-03-01,-0.02675265876097801,1.0834010040681106,All,Sign(R)
2011-03-02,0.01382549714923148,1.0983795615613288,All,Sign(R)
2011-03-03,0.01815900285649213,1.1183250391572335,All,Sign(R)
2011-03-04,-0.006563630916791771,1.1109847663551986,All,Sign(R)
2011-03-07,-0.02069256039356827,1.0879956469810594,All,Sign(R)
2011-03-08,-0.003851024475969502,1.083805749114787,All,Sign(R)
2011-03-09,-0.0005613972921247315,1.0831973035020448,All,Sign(R)
2011-03-10,-0.05470135052169018,1.0239449481190297,All,Sign(R)
2011-03-11,0.014054657893251691,1.0383361440663659,All,Sign(R)
2011-03-14,-0.019855481100280403,1.0177194803821181,All,Sign(R)
2011-03-15,-0.07419229473251078,0.9422125367385903,All,Sign(R)
2011-03-16,-0.02793184938016783,0.9158947980783022,All,Sign(R)
2011-03-17,0.030595884921244706,0.9439174099202725,All,Sign(R)
2011-03-18,0.01013642347071391,0.9534853565086039,All,Sign(R)
2011-03-21,0.014748079085080803,0.9675474339528594,All,Sign(R)
2011-03-22,0.00044657900262258553,0.9679795203209042,All,Sign(R)
2011-03-23,0.0005430797683097274,0.9685052104145285,All,Sign(R)
2011-03-24,0.021005148322614617,0.9888488060105107,All,Sign(R)
2011-03-25,-0.004720457771610875,0.9841809869792303,All,Sign(R)
2011-03-28,-0.017167119139298446,0.9672854347211255,All,Sign(R)
2011-03-29,0.0025741866319959816,0.969775407956509,All,Sign(R)
2011-03-30,0.016017162004933895,0.9853084577741492,All,Sign(R)
2011-03-31,0.021159415292040892,1.0061570086229528,All,Sign(R)
2011-04-01,0.008935826951783448,1.0151478535383316,All,Sign(R)
2011-04-04,0.01271621445141612,1.0280566913438198,All,Sign(R)
2011-04-05,0.004934228377021701,1.0331293578434355,All,Sign(R)
