date,daily_pnl,cum_wealth,asset_class,model
2011-01-05,-0.043159924430844626,0.9568400755691554,FX,Long
2011-01-06,0.003515168359316412,0.960203529527722,FX,Long
2011-01-07,0.013050391300873966,0.972734561316539,FX,Long
2011-01-10,-0.0015904098015566612,0.9711875147359083,FX,Long
2011-01-11,-0.004169871153793094,0.967137787933287,FX,Long
2011-01-12,0.0472383663194825,1.0128237970410934,FX,Long
2011-01-13,0.011206824799150236,1.0241743358869428,FX,Long
2011-01-14,-0.0022482773510128905,1.0218717079240796,FX,Long
2011-01-17,0.0018843429249271598,1.0237972646470894,FX,Long
2011-01-18,0.01597266987867018,1.0401500403779829,FX,Long
2011-01-19,0.009669674903681948,1.0502079531194897,FX,Long
2011-01-20,-0.049148408266109,0.9985919038752583,FX,Long
2011-01-21,0.015067547743330764,1.0136382350630024,FX,Long
2011-01-24,0.023576883184940663,1.0375366653228721,FX,Long
2011-01-25,-0.010681422446892401,1.0264542978964186,FX,Long
2011-01-26,0.012781340169926263,1.0395737594467154,FX,Long
2011-01-27,0.003374976321427046,1.043082296269225,FX,Long
2011-01-28,-0.03046134025962281,1.0113086115237795,FX,Long
2011-01-31,0.0071938267476167545,1.0185837904634545,FX,Long
2011-02-01,0.07289324088529951,1.0928316640635687,FX,Long
2011-02-02,0.007414439180166101,1.1009343979709276,FX,Long
2011-02-03,-0.0031640137960201376,1.0974510263472346,FX,Long
2011-02-04,-0.013645362518052206,1.082475909246918,FX,Long
2011-02-07,0.0002351411171857516,1.082730443841545,FX,Long
2011-02-08,-0.021809743234975237,1.0591163708686702,FX,Long
2011-02-09,3.193261809325708e-05,1.0591501912272574,FX,Long
2011-02-10,-0.03395390903033718,1.0231879019848629,FX,Long
2011-02-11,0.014205454579148343,1.037722751252443,FX,Long
2011-02-14,0.0022720038215501646,1.0400804613089982,FX,Long
2011-02-15,-0.01403860862889841,1.0254791787701172,FX,Long
2011-02-16,0.03873282931080935,1.0651988887632091,FX,Long
2011-02-17,0.0390073830310481,1.1067495098214424,FX,Long
2011-02-18,0.010577428996091095,1.1184560741780374,FX,Long
2011-02-21,0.007761572861531743,1.127137052490193,FX,Long
2011-02-22,-0.04820907956038192,1.0727988126512389,FX,Long
2011-02-23,0.004131923125484343,1.0772315348742247,FX,Long
2011-02-24,0.03139761917621596,1.1110540403708162,FX,Long
2011-02-25,0.015444460741845868,1.1282136708793924,FX,Long
2011-02-28,0.03441549085086623,1.1670416981473644,FX,Long
2011-03-01,-0.006335384100819712,1.159648040727928,FX,Long
2011-03-02,0.004463558398253972,1.1648241974791378,FX,Long
2011-03-03,-0.0011917017656028746,1.163436074426385,FX,Long
2011-03-04,0.010130564206998597,1.1752223382790998,FX,Long
2011-03-07,-0.024874515457329556,1.1459892520597774,FX,Long
2011-03-08,-0.010417446263410797,1.1340509706079984,FX,Long
2011-03-09,0.027209476681976943,1.16490790404893,FX,Long
2011-03-10,-0.058939122509845183,1.096249254379503,FX,Long
2011-03-11,0.029078991088740354,1.1281270766786429,FX,Long
2011-03-14,-0.029932549350503507,1.0943593572823203,FX,Long
2011-03-15,-0.06342628665658522,1.0249482069820155,FX,Long
2011-03-16,-0.0170393555842007,1.00748375002786,FX,Long
2011-03-17,0.04098165726876041,1.0487721037753472,FX,Long
2011-03-18,0.010218995166333102,1.0594895008344125,FX,Long
2011-03-21,0.04834697318948474,1.1107126113257944,FX,Long
2011-03-22,0.011819861217735483,1.1238410802444536,FX,Long
2011-03-23,-0.02135575214557458,1.0998406086837382,FX,Long
2011-03-24,0.006795839886854076,1.1073149493614132,FX,Long
2011-03-25,-0.03067027792029522,1.073353292119201,FX,Long
2011-03-28,0.009109282313643106,1.083130770279393,FX,Long
2011-03-29,-0.009575397066829092,1.0727593630786674,FX,Long
2011-03-30,0.02587050805009377,1.1005121928170076,FX,Long
2011-03-31,0.015509572621400791,1.1175806665922399,FX,Long
2011-04-01,0.002618088759673981,1.120506591973474,FX,Long
2011-04-04,-0.009400461212714395,1.1099733132170366,FX,Long
2011-04-05,0.009978416682437962,1.1210490894427023,FX,Long
2011-04-06,0.025350838976442518,1.1494686243938517,FX,Long
2011-04-07,0.00991313774756845,1.160863465203976,FX,Long
2011-04-08,0.035260257186087746,1.2017958095450012,FX,Long
2011-04-11,0.002752420651735298,1.2051036571503617,FX,Long
2011-04-12,-0.011819068631468466,1.190860454318468,FX,Long
2011-04-13,0.00845385553714081,1.2009278165641701,FX,Long
2011-04-14,0.031708426965764466,1.23900734852685,FX,Long
2011-04-15,0.005155127000630695,1.2453945887632207,FX,Long
2011-04-18,-0.029853426430508454,1.2082152930306245,FX,Long
2011-04-19,0.02273252508211747,1.2356810774840412,FX,Long
2011-04-20,0.06309745915138965,1.3136494137947359,FX,Long
2011-04-21,0.0420948924937958,1.3689473446429632,FX,Long
2011-04-22,-0.00010060839421405763,1.368809617048855,FX,Long
2011-04-25,-0.007334109962780349,1.3587706167993074,FX,Long
2011-04-26,0.013311692560558839,1.3768581535104607,FX,Long
2011-04-27,0.0237578832061599,1.409569388713011,FX,Long
2011-04-28,0.03431895262691428,1.4579443337886013,FX,Long
2011-04-29,0.053801976990851694,1.5363846212890384,FX,Long
2011-05-02,-0.00988681630670462,1.5211946687619078,FX,Long
2011-05-03,-0.04693979716694457,1.4497900995587865,FX,Long
2011-05-04,-0.013043251785427527,1.4308801222542211,FX,Long
2011-05-05,-0.08343451053193464,1.3114953396240654,FX,Long
2011-05-06,-0.0007252391966999243,1.3105441917974807,FX,Long
2011-05-09,0.026451550465350145,1.3452101176238833,FX,Long
2011-05-10,0.00704965220570378,1.3546933810967254,FX,Long
2011-05-11,-0.04367051366751344,1.295533225282251,FX,Long
2011-05-12,-0.009574283535886336,1.2831294228532373,FX,Long
2011-05-13,-0.045020977700640584,1.2253616817199258,FX,Long
2011-05-16,0.003034323324918332,1.2290798252522297,FX,Long
2011-05-17,0.00031395999265546693,1.2294657071451387,FX,Long
2011-05-18,-0.007387559209627966,1.220382956437397,FX,Long
2011-05-19,0.028854858365624975,1.2555969337972206,FX,Long
2011-05-20,0.007965811537288274,1.2655987823386463,FX,Long
2011-05-23,-0.07154539761795169,1.1750510142314323,FX,Long
2011-05-24,0.018919724763639886,1.197282656003927,FX,Long
2011-05-25,0.006401900640628864,1.2049475406064123,FX,Long
2011-05-26,0.04536724094093331,1.2596126860022885,FX,Long
2011-05-27,0.04772507062347511,1.319727790399973,FX,Long
2011-05-30,-0.005621395780598998,1.3123090781674793,FX,Long
2011-05-31,0.013967971933429588,1.3306393745393075,FX,Long
2011-06-01,-0.006394778616248788,1.322130230321065,FX,Long
2011-06-02,-0.002234282564060207,1.3191762178000417,FX,Long
2011-06-03,0.021506552310988667,1.3475471501355705,FX,Long
2011-06-06,-0.028998309679587688,1.3084705605680933,FX,Long
2011-06-07,0.02651983618028069,1.3431709854810792,FX,Long
2011-06-08,-0.03576583105459075,1.2951313589369347,FX,Long
2011-06-09,0.004065343477791739,1.3003965127598724,FX,Long
2011-06-10,-0.03390661931283516,1.2563044632459852,FX,Long
2011-06-13,0.02276785716667088,1.284907823823021,FX,Long
2011-06-14,0.02239752535069352,1.3136865793804016,FX,Long
2011-06-15,-0.0846606543717874,1.2024690139306218,FX,Long
2011-06-16,-0.026222190894125846,1.1709376419030617,FX,Long
2011-06-17,0.044196298402463516,1.2226887513352864,FX,Long
2011-06-20,0.0012563375104875333,1.2242248610772402,FX,Long
2011-06-21,0.0460061249681459,1.2805467030250706,FX,Long
2011-06-22,-0.006406129058631362,1.272343355579887,FX,Long
2011-06-23,-0.040801777617699084,1.2204294849321595,FX,Long
2011-06-24,-0.005151717402639181,1.2141421771159404,FX,Long
2011-06-27,-0.016400806155518463,1.1942292666238228,FX,Long
2011-06-28,0.03328212338714415,1.2339757524281354,FX,Long
2011-06-29,0.04787294840906352,1.2930498099621628,FX,Long
2011-06-30,0.023169547994644792,1.3230091895935474,FX,Long
2011-07-01,0.004788433907430337,1.3293443316568392,FX,Long
2011-07-04,0.02553013775679109,1.3632826755702476,FX,Long
2011-07-05,-0.009717561078068163,1.3500348929037216,FX,Long
2011-07-06,0.00019802752579208913,1.3503022369732962,FX,Long
2011-07-07,0.01385666983112079,1.3690129292432591,FX,Long
2011-07-08,0.018053404870209743,1.3937282739274395,FX,Long
2011-07-11,-0.04103311289917134,1.3365392643126077,FX,Long
2011-07-12,0.01239711301153942,1.353108492616651,FX,Long
2011-07-13,0.06543205614519874,1.4416451634760887,FX,Long
2011-07-14,-0.008402398386589124,1.4295318864804634,FX,Long
2011-07-15,0.0029074408502267643,1.4336881658839185,FX,Long
2011-07-18,-0.026605263304998558,1.3955445147333163,FX,Long
2011-07-19,0.030443245126567528,1.4380294184803792,FX,Long
2011-07-20,0.03318022024568098,1.4857435513053268,FX,Long
2011-07-21,0.0426371468663458,1.549091417308058,FX,Long
2011-07-22,-0.002960935757224767,1.5445046571393406,FX,Long
2011-07-25,0.018366597340354607,1.5728719522673213,FX,Long
2011-07-26,0.04686393636883523,1.6465829233547027,FX,Long
2011-07-27,-0.03017807085088649,1.5968922272318447,FX,Long
2011-07-28,-0.01285525035127763,1.5763637778667698,FX,Long
2011-07-29,0.029307517445630957,1.622563086787261,FX,Long
2011-08-01,0.002027137115202241,1.6258522446422445,FX,Long
2011-08-02,-0.016306433023896824,1.5993403939082336,FX,Long
2011-08-03,-0.015568349577057236,1.5744413035631617,FX,Long
2011-08-04,-0.11095982617908169,1.3997415701906264,FX,Long
2011-08-05,-0.018469107633376683,1.373889592471864,FX,Long
2011-08-08,-0.05207865454697298,1.3023392709998403,FX,Long
2011-08-09,0.02775391763795161,1.3384842878638397,FX,Long
2011-08-10,0.014164144589695346,1.3574427728481786,FX,Long
2011-08-11,-0.011446954427066494,1.3419041872900348,FX,Long
2011-08-12,-0.0048147436251530645,1.3354432626587138,FX,Long
2011-08-15,0.04130563194182819,1.3906045905452888,FX,Long
2011-08-16,-0.010278017381870974,1.3763119323923547,FX,Long
2011-08-17,0.029483717800061576,1.4168907250118683,FX,Long
2011-08-18,-0.05126684796748072,1.3442512036261514,FX,Long
2011-08-19,-0.0053900857549540986,1.337005574362406,FX,Long
2011-08-22,-0.014316689700325723,1.3178640804266537,FX,Long
2011-08-23,0.01645602750734398,1.3395508879850953,FX,Long
2011-08-24,-0.03405623480413081,1.293930828411793,FX,Long
2011-08-25,-0.012344993928745154,1.2779572601908333,FX,Long
2011-08-26,0.026241915171210786,1.311493306205194,FX,Long
2011-08-29,0.02041846613578378,1.338271987865252,FX,Long
2011-08-30,-0.0034425162551228908,1.3336649647932501,FX,Long
2011-08-31,0.015924818297196174,1.3549033370269192,FX,Long
2011-09-01,0.013901712215363396,1.373738813297903,FX,Long
2011-09-02,-0.0327165783426969,1.3287947797902386,FX,Long
2011-09-05,-0.01720655599464957,1.30593079800638,FX,Long
2011-09-06,-0.11513360727977523,1.1555742743741497,FX,Long
2011-09-07,0.042508685551962216,1.2046962178354574,FX,Long
2011-09-08,-0.023865061982854232,1.1759460679263043,FX,Long
2011-09-09,-0.046841922157006145,1.120862493751663,FX,Long
2011-09-12,-0.04988962239398931,1.0649430871828072,FX,Long
2011-09-13,0.03844658682504446,1.105886514047912,FX,Long
2011-09-14,-0.016957901879837357,1.087132999052452,FX,Long
2011-09-15,0.026034864730801285,1.115436359627173,FX,Long
2011-09-16,0.007309865121623702,1.1235900489678026,FX,Long
2011-09-19,-0.04857132518749483,1.0690157913219542,FX,Long
2011-09-20,0.0031639609158447468,1.0723981155041178,FX,Long
2011-09-21,-0.05537858298353661,1.0130102274732848,FX,Long
2011-09-22,-0.11307443622823143,0.8984646671083106,FX,Long
2011-09-23,0.012834288654875839,0.9099958219921855,FX,Long
2011-09-26,-0.0003361593447082481,0.9096899183929774,FX,Long
2011-09-27,0.0683434716758397,0.9718612855644648,FX,Long
2011-09-28,-0.021514982923018646,0.9509517066020023,FX,Long
2011-09-29,-0.023312841746713737,0.9287823199572225,FX,Long
2011-09-30,-0.023852888241827606,0.9066281790782975,FX,Long
2011-10-03,-0.03437814038162814,0.875459988264004,FX,Long
2011-10-04,-0.0379394593034201,0.8422455096674891,FX,Long
2011-10-05,0.056022708070872916,0.8894303839795944,FX,Long
2011-10-06,0.019833188240721257,0.9070706242120786,FX,Long
2011-10-07,0.00597910321652519,0.9124940930989207,FX,Long
2011-10-10,0.06355652052217758,0.970489042653328,FX,Long
2011-10-11,-0.015435674486239316,0.9555088896984693,FX,Long
2011-10-12,0.029908431989062036,0.9840866623409602,FX,Long
2011-10-13,0.005147318719183056,0.9891520700393263,FX,Long
2011-10-14,0.014608440510629074,1.0036020392104614,FX,Long
2011-10-17,-0.018129356532979035,0.9854073800243902,FX,Long
2011-10-18,-0.0035587113569733545,0.981900599589852,FX,Long
2011-10-19,-0.0008309410990014592,0.9810846980265185,FX,Long
2011-10-20,-0.003974355679640125,0.9771855184847088,FX,Long
2011-10-21,0.037447170871254695,1.0137783515683214,FX,Long
2011-10-24,0.042356241259566746,1.056718192011075,FX,Long
2011-10-25,-0.01327206047663963,1.0426933642599387,FX,Long
2011-10-26,-0.008866680661220558,1.0334481351714722,FX,Long
2011-10-27,0.08809127783060286,1.1244859019703808,FX,Long
2011-10-28,0.009870865603492356,1.135585551181752,FX,Long
2011-10-31,-0.07119194279678223,1.0547410095811685,FX,Long
2011-11-01,-0.07907955456907972,0.9713325603577483,FX,Long
2011-11-02,0.0003291814182619006,0.9716523049875709,FX,Long
2011-11-03,0.02848634028626142,0.9993311231873772,FX,Long
2011-11-04,-0.016165862920204728,0.9831760732380358,FX,Long
2011-11-07,-0.004447904917157818,0.9788029995474484,FX,Long
2011-11-08,0.013073787210873886,0.9915996616848969,FX,Long
2011-11-09,-0.058043337020173565,0.9340439083326303,FX,Long
2011-11-10,-0.008961264762342526,0.9256736935704084,FX,Long
2011-11-11,0.042115145955996997,0.964658576282753,FX,Long
2011-11-14,-0.023296883727984413,0.9421850375938907,FX,Long
2011-11-15,-0.012975198342015524,0.9299599998562306,FX,Long
2011-11-16,-0.012493895421314107,0.9183411768720215,FX,Long
2011-11-17,-0.024255660237286526,0.8960662053039039,FX,Long
2011-11-18,0.00032914119452721224,0.8963611376050931,FX,Long
2011-11-21,-0.041429639801975573,0.859225218541625,FX,Long
2011-11-22,0.00046788088716941893,0.8596272335991546,FX,Long
2011-11-23,-0.05447430943087759,0.8127996336808649,FX,Long
2011-11-24,-0.004573949320211175,0.8090819293489224,FX,Long
2011-11-25,-0.01952123414209396,0.793287651565965,FX,Long
2011-11-28,0.042857494253486034,0.8272859725343148,FX,Long
2011-11-29,0.03827514356847202,0.8589504619052487,FX,Long
2011-11-30,0.0454627317780488,0.8980006963654781,FX,Long
2011-12-01,0.012251360257599302,0.9090024264082266,FX,Long
2011-12-02,-0.012219703184501692,0.8978946865635262,FX,Long
2011-12-05,0.013714653907152395,0.9102090014348161,FX,Long
2011-12-06,-0.003225433181195714,0.9072731831197652,FX,Long
2011-12-07,0.010768307451437654,0.9170429796980435,FX,Long
2011-12-08,-0.026419664099424704,0.8928150122096856,FX,Long
2011-12-09,0.0038543308749415697,0.8962562166768566,FX,Long
2011-12-12,-0.04087403477447324,0.859622608909569,FX,Long
2011-12-13,-0.023489579635202623,0.8394304351813671,FX,Long
2011-12-14,-0.03173247101426016,0.8127932332284865,FX,Long
2011-12-15,0.009600596718788898,0.8205965332764737,FX,Long
2011-12-16,0.005426118019206906,0.825049186912184,FX,Long
2011-12-19,-0.005378083153193468,0.8206120037794956,FX,Long
2011-12-20,0.030069479398724935,0.8452873795214895,FX,Long
2011-12-21,0.0006618563575330858,0.8458468383475682,FX,Long
2011-12-22,0.005070264250500421,0.8501355053334408,FX,Long
2011-12-23,0.015504158088348383,0.8633161406046485,FX,Long
2011-12-27,-0.007235592286264194,0.857069536997082,FX,Long
2011-12-28,-0.0378628130906705,0.824618473312054,FX,Long
2011-12-29,0.0034619516604097646,0.8274732626049411,FX,Long
2011-12-30,0.04408857850536507,0.8639553825043896,FX,Long
2012-01-03,0.05547869376768466,0.9118864985992935,FX,Long
2012-01-04,-0.015695767765131555,0.89757373988912,FX,Long
2012-01-05,-0.045893499512196866,0.8563809398953579,FX,Long
2012-01-06,-0.017821253760490093,0.8411191578498358,FX,Long
2012-01-09,0.010158305694827067,0.84966350338105,FX,Long
2012-01-10,0.028112837791479477,0.8735499556289417,FX,Long
2012-01-11,-0.026426784173910582,0.8504648394864065,FX,Long
2012-01-12,0.018531610688907796,0.866225322796373,FX,Long
2012-01-13,-0.01969988556292391,0.8491607830655776,FX,Long
2012-01-16,-0.038331394031307434,0.8166112664939573,FX,Long
2012-01-17,0.03642438720569761,0.8463558314612682,FX,Long
2012-01-18,0.03743103316465673,0.8780358046577956,FX,Long
2012-01-19,0.011648579667055889,0.8882636746788793,FX,Long
2012-01-20,0.021627630283970464,0.9074747130295151,FX,Long
2012-01-23,0.022821032214546108,0.9281842226894477,FX,Long
2012-01-24,-0.01673081827245562,0.9126549411362701,FX,Long
2012-01-25,0.03262049921532092,0.9424262009274645,FX,Long
2012-01-26,0.021390921810916005,0.9625855661040627,FX,Long
2012-01-27,0.02957192790413639,0.9910510770664543,FX,Long
2012-01-30,-0.010247630309130796,0.9808951520112115,FX,Long
2012-01-31,0.003086118955649723,0.9839223111333382,FX,Long
2012-02-01,0.027657225858580884,1.0111348727196499,FX,Long
2012-02-02,0.012376510062197907,1.0236491936461038,FX,Long
2012-02-03,0.013990810124895482,1.037970875148909,FX,Long
