,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4514,0.2216,0.1064,0.1080,0.5515,0.2630,-0.1225,-0.0891,0.0175,0.1185,0.0036
ret_5d,0.4514,1.0000,0.4909,0.2411,0.4774,0.8769,0.5514,-0.1281,-0.0955,0.0304,0.2499,0.0205
ret_21d,0.2216,0.4909,1.0000,0.4513,0.8726,0.6561,0.8580,-0.0281,-0.0003,0.0059,0.4452,0.0650
ret_126d,0.1064,0.2411,0.4513,1.0000,0.4556,0.3203,0.6914,-0.0034,0.0175,-0.0012,0.6861,0.0056
macd_8_24,0.1080,0.4774,0.8726,0.4556,1.0000,0.6379,0.8433,-0.0426,-0.0093,0.0004,0.4418,0.0572
rsi_5,0.5515,0.8769,0.6561,0.3203,0.6379,1.0000,0.6910,-0.1152,-0.0794,0.0286,0.3211,0.0486
rsi_30,0.2630,0.5514,0.8580,0.6914,0.8433,0.6910,1.0000,-0.0543,-0.0014,0.0114,0.6439,0.0177
atr_norm,-0.1225,-0.1281,-0.0281,-0.0034,-0.0426,-0.1152,-0.0543,1.0000,0.4210,0.0194,-0.0158,-0.0148
vol_norm,-0.0891,-0.0955,-0.0003,0.0175,-0.0093,-0.0794,-0.0014,0.4210,1.0000,0.1066,0.0137,-0.1032
oi_chg,0.0175,0.0304,0.0059,-0.0012,0.0004,0.0286,0.0114,0.0194,0.1066,1.0000,0.0124,-0.0478
drawdown,0.1185,0.2499,0.4452,0.6861,0.4418,0.3211,0.6439,-0.0158,0.0137,0.0124,1.0000,0.0027
days_to_roll,0.0036,0.0205,0.0650,0.0056,0.0572,0.0486,0.0177,-0.0148,-0.1032,-0.0478,0.0027,1.0000
