,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4424,0.2278,0.1000,0.1023,0.5443,0.2642,-0.1966,-0.0646,-0.0255,0.1274,0.0015
ret_5d,0.4424,1.0000,0.4910,0.2267,0.4762,0.8554,0.5452,-0.3492,-0.1083,-0.0119,0.2708,0.0021
ret_21d,0.2278,0.4910,1.0000,0.4705,0.8711,0.6616,0.8514,-0.1630,-0.0425,0.0163,0.4912,-0.0450
ret_126d,0.1000,0.2267,0.4705,1.0000,0.4878,0.3184,0.7088,-0.0200,-0.0011,0.0041,0.7727,0.0153
macd_8_24,0.1023,0.4762,0.8711,0.4878,1.0000,0.6339,0.8498,-0.1710,-0.0391,0.0175,0.5237,-0.0329
rsi_5,0.5443,0.8554,0.6616,0.3184,0.6339,1.0000,0.6876,-0.3444,-0.0910,-0.0073,0.3623,-0.0118
rsi_30,0.2642,0.5452,0.8514,0.7088,0.8498,0.6876,1.0000,-0.1606,-0.0346,0.0008,0.6979,-0.0306
atr_norm,-0.1966,-0.3492,-0.1630,-0.0200,-0.1710,-0.3444,-0.1606,1.0000,0.1198,0.0327,-0.0343,-0.0974
vol_norm,-0.0646,-0.1083,-0.0425,-0.0011,-0.0391,-0.0910,-0.0346,0.1198,1.0000,0.1581,-0.0040,0.1335
oi_chg,-0.0255,-0.0119,0.0163,0.0041,0.0175,-0.0073,0.0008,0.0327,0.1581,1.0000,-0.0040,0.0041
drawdown,0.1274,0.2708,0.4912,0.7727,0.5237,0.3623,0.6979,-0.0343,-0.0040,-0.0040,1.0000,-0.0219
days_to_roll,0.0015,0.0021,-0.0450,0.0153,-0.0329,-0.0118,-0.0306,-0.0974,0.1335,0.0041,-0.0219,1.0000
