,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4573,0.2149,0.1235,0.1058,0.5492,0.2742,0.2415,-0.0010,0.0040,0.1547,-0.0048
ret_5d,0.4573,1.0000,0.4867,0.2675,0.4777,0.8763,0.5694,0.6659,-0.0234,0.0058,0.3206,0.0014
ret_21d,0.2149,0.4867,1.0000,0.4896,0.8802,0.6379,0.8675,0.7593,-0.0213,-0.0067,0.5630,0.0046
ret_126d,0.1235,0.2675,0.4896,1.0000,0.4995,0.3375,0.7154,0.3839,-0.0186,-0.0142,0.7280,0.0116
macd_8_24,0.1058,0.4777,0.8802,0.4995,1.0000,0.6416,0.8686,0.7713,-0.0166,-0.0007,0.5915,0.0165
rsi_5,0.5492,0.8763,0.6379,0.3375,0.6416,1.0000,0.7026,0.7691,-0.0297,0.0035,0.4209,-0.0010
rsi_30,0.2742,0.5694,0.8675,0.7154,0.8686,0.7026,1.0000,0.7622,-0.0224,-0.0037,0.7525,-0.0056
atr_norm,0.2415,0.6659,0.7593,0.3839,0.7713,0.7691,0.7622,1.0000,-0.0050,-0.0049,0.5151,-0.0281
vol_norm,-0.0010,-0.0234,-0.0213,-0.0186,-0.0166,-0.0297,-0.0224,-0.0050,1.0000,-0.0087,-0.0140,-0.2267
oi_chg,0.0040,0.0058,-0.0067,-0.0142,-0.0007,0.0035,-0.0037,-0.0049,-0.0087,1.0000,-0.0026,0.0043
drawdown,0.1547,0.3206,0.5630,0.7280,0.5915,0.4209,0.7525,0.5151,-0.0140,-0.0026,1.0000,-0.1887
days_to_roll,-0.0048,0.0014,0.0046,0.0116,0.0165,-0.0010,-0.0056,-0.0281,-0.2267,0.0043,-0.1887,1.0000
