,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0215,0.9821,-4.7100,4.1565,0.0000,0.0000,0.0331
ret_5d,0.0468,1.0093,-3.8021,4.1668,0.0000,0.0000,0.0056
ret_21d,0.0690,0.9910,-3.1620,4.0596,0.0000,0.0000,0.0011
ret_126d,0.0635,0.8409,-2.7558,2.7862,0.0000,0.0000,0.0000
macd_8_24,0.0555,1.0657,-2.8118,3.4309,0.0000,0.0000,0.0000
rsi_5,0.0163,0.4143,-0.9850,0.9698,0.0000,0.0000,0.0000
rsi_30,0.0126,0.1600,-0.4689,0.6759,0.0000,0.0000,0.0000
atr_norm,1.0019,0.0501,0.7704,1.3284,0.0000,0.0000,0.0000
vol_norm,1.0272,0.5392,0.0000,20.0000,0.0000,0.0000,0.0040
oi_chg,0.0026,0.1222,-1.0000,5.0000,0.0000,0.0000,0.0113
drawdown,-0.1230,0.0997,-0.6406,0.0000,0.0000,0.0000,0.0615
days_to_roll,-0.0218,0.3239,-0.5000,1.5000,0.0000,0.0000,0.0101
