,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4485,0.2240,0.1097,0.1088,0.5497,0.2681,-0.0310,-0.0284,0.0021,0.1226,-0.0098
ret_5d,0.4485,1.0000,0.4935,0.2361,0.4761,0.8767,0.5582,-0.0801,-0.0386,0.0166,0.2618,-0.0207
ret_21d,0.2240,0.4935,1.0000,0.4341,0.8715,0.6499,0.8606,-0.0259,-0.0052,0.0127,0.4557,-0.0305
ret_126d,0.1097,0.2361,0.4341,1.0000,0.4340,0.2982,0.6631,-0.0055,0.0041,0.0187,0.6740,-0.1633
macd_8_24,0.1088,0.4761,0.8715,0.4340,1.0000,0.6406,0.8492,-0.0329,-0.0061,0.0183,0.4727,-0.0085
rsi_5,0.5497,0.8767,0.6499,0.2982,0.6406,1.0000,0.6882,-0.0607,-0.0377,0.0178,0.3282,-0.0304
rsi_30,0.2681,0.5582,0.8606,0.6631,0.8492,0.6882,1.0000,-0.0387,-0.0091,0.0165,0.6429,-0.0810
atr_norm,-0.0310,-0.0801,-0.0259,-0.0055,-0.0329,-0.0607,-0.0387,1.0000,0.2282,-0.0144,-0.0026,-0.0067
vol_norm,-0.0284,-0.0386,-0.0052,0.0041,-0.0061,-0.0377,-0.0091,0.2282,1.0000,0.0710,0.0088,-0.0611
oi_chg,0.0021,0.0166,0.0127,0.0187,0.0183,0.0178,0.0165,-0.0144,0.0710,1.0000,0.0208,-0.0129
drawdown,0.1226,0.2618,0.4557,0.6740,0.4727,0.3282,0.6429,-0.0026,0.0088,0.0208,1.0000,0.0211
days_to_roll,-0.0098,-0.0207,-0.0305,-0.1633,-0.0085,-0.0304,-0.0810,-0.0067,-0.0611,-0.0129,0.0211,1.0000
