,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0075,0.9769,-4.0867,3.8230,0.0000,0.0000,0.0116
ret_5d,-0.0122,0.9789,-4.2604,3.5809,0.0000,0.0000,0.0030
ret_21d,-0.0144,0.9638,-4.0034,3.1783,0.0000,0.0000,0.0013
ret_126d,-0.0240,0.8784,-2.3863,2.7052,0.0000,0.0000,0.0002
macd_8_24,-0.0040,1.0546,-2.7359,3.4303,0.0000,0.0000,0.0000
rsi_5,-0.0033,0.4060,-0.9838,0.9292,0.0000,0.0000,0.0000
rsi_30,-0.0039,0.1579,-0.6997,0.5177,0.0000,0.0000,0.0000
atr_norm,1.0009,0.3896,0.0348,4.1328,0.0000,0.0000,0.0000
vol_norm,1.0244,0.6287,0.0000,14.2996,0.0000,0.0000,0.0004
oi_chg,0.0022,0.0827,-0.9463,5.0000,0.0000,0.0000,0.0073
drawdown,-0.0391,0.0344,-0.2355,0.0000,0.0000,0.0000,0.0449
days_to_roll,0.2526,0.3244,-0.5000,0.5111,0.0000,0.0000,0.0052
