,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0198,0.9936,-4.3994,4.3264,0.0000,0.0000,0.0724
ret_5d,0.0408,1.0765,-3.4387,5.3519,0.0000,0.0000,0.0081
ret_21d,0.0556,1.2483,-4.0759,5.8204,0.0000,0.0000,0.0007
ret_126d,-0.0318,1.2855,-5.2680,4.0521,0.0000,0.0000,0.0000
macd_8_24,0.0229,1.0758,-2.9854,3.1729,0.0000,0.0000,0.0000
rsi_5,0.0060,0.4492,-0.9935,0.9897,0.0000,0.0000,0.0000
rsi_30,0.0067,0.2163,-0.5886,0.8742,0.0000,0.0000,0.0000
atr_norm,1.0035,0.1124,0.3166,2.1944,0.0000,0.0000,0.0000
vol_norm,1.0081,0.4031,0.0000,3.4398,0.0000,0.0000,0.0005
oi_chg,0.0015,0.0761,-0.8927,5.0000,0.0000,0.0000,0.0086
drawdown,-0.1190,0.0901,-0.5021,0.0000,0.0000,0.0000,0.0640
days_to_roll,-0.3358,0.1080,-0.5000,0.5000,0.0000,0.0000,0.0007
