,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4457,0.2250,0.1098,0.1177,0.5542,0.2657,-0.0006,-0.0127,-0.0192,0.1440,0.0014
ret_5d,0.4457,1.0000,0.5010,0.2386,0.4890,0.8766,0.5551,0.0032,0.0004,0.0042,0.3040,-0.0007
ret_21d,0.2250,0.5010,1.0000,0.4508,0.8796,0.6639,0.8641,0.0268,0.0085,0.0213,0.5465,-0.0467
ret_126d,0.1098,0.2386,0.4508,1.0000,0.4507,0.3120,0.6987,0.0266,0.0042,-0.0092,0.7659,-0.0131
macd_8_24,0.1177,0.4890,0.8796,0.4507,1.0000,0.6454,0.8508,0.0411,0.0053,0.0211,0.5564,-0.0228
rsi_5,0.5542,0.8766,0.6639,0.3120,0.6454,1.0000,0.6931,0.0054,-0.0138,0.0013,0.4055,-0.0084
rsi_30,0.2657,0.5551,0.8641,0.6987,0.8508,0.6931,1.0000,0.0352,0.0044,0.0080,0.7525,-0.0216
atr_norm,-0.0006,0.0032,0.0268,0.0266,0.0411,0.0054,0.0352,1.0000,0.2920,0.0210,0.0231,0.0030
vol_norm,-0.0127,0.0004,0.0085,0.0042,0.0053,-0.0138,0.0044,0.2920,1.0000,0.0498,0.0041,-0.0718
oi_chg,-0.0192,0.0042,0.0213,-0.0092,0.0211,0.0013,0.0080,0.0210,0.0498,1.0000,0.0031,-0.0107
drawdown,0.1440,0.3040,0.5465,0.7659,0.5564,0.4055,0.7525,0.0231,0.0041,0.0031,1.0000,-0.0087
days_to_roll,0.0014,-0.0007,-0.0467,-0.0131,-0.0228,-0.0084,-0.0216,0.0030,-0.0718,-0.0107,-0.0087,1.0000
