,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0245,0.9850,-4.2706,3.8158,0.0000,0.0000,0.0101
ret_5d,0.0642,0.9531,-4.3727,3.9488,0.0000,0.0000,0.0016
ret_21d,0.1667,0.8998,-2.9398,2.9346,0.0000,0.0000,0.0011
ret_126d,0.3713,0.8167,-2.4846,2.9792,0.0000,0.0000,0.0000
macd_8_24,0.1943,1.0518,-3.5152,2.7093,0.0000,0.0000,0.0000
rsi_5,0.0689,0.3849,-0.9389,0.9733,0.0000,0.0000,0.0000
rsi_30,0.0466,0.1457,-0.5658,0.4498,0.0000,0.0000,0.0000
atr_norm,1.0104,0.4040,0.0000,4.9806,0.0000,0.0000,0.0002
vol_norm,1.0209,0.4808,0.0000,11.3180,0.0000,0.0000,0.0016
oi_chg,0.0072,0.1852,-1.0000,5.0000,0.0000,0.0000,0.0304
drawdown,-0.0692,0.0785,-0.5436,0.0000,0.0000,0.0000,0.0861
days_to_roll,0.0227,0.3302,-0.5000,1.5111,0.0000,0.0000,0.0002
