,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4632,0.2116,0.0945,0.1194,0.5553,0.2667,0.3783,-0.0342,0.0230,0.1360,0.0009
ret_5d,0.4632,1.0000,0.4668,0.2080,0.4808,0.8692,0.5501,0.6687,-0.0373,0.0287,0.2870,0.0079
ret_21d,0.2116,0.4668,1.0000,0.4152,0.8704,0.6353,0.8501,0.6528,-0.0090,0.0127,0.5131,0.0296
ret_126d,0.0945,0.2080,0.4152,1.0000,0.4735,0.2902,0.6780,0.2684,-0.0227,0.0043,0.8124,0.0031
macd_8_24,0.1194,0.4808,0.8704,0.4735,1.0000,0.6388,0.8746,0.6573,-0.0140,0.0111,0.5495,0.0287
rsi_5,0.5553,0.8692,0.6353,0.2902,0.6388,1.0000,0.6956,0.7519,-0.0417,0.0267,0.3875,0.0083
rsi_30,0.2667,0.5501,0.8501,0.6780,0.8746,0.6956,1.0000,0.6605,-0.0232,0.0120,0.7505,0.0216
atr_norm,0.3783,0.6687,0.6528,0.2684,0.6573,0.7519,0.6605,1.0000,0.0555,0.0151,0.4028,-0.0088
vol_norm,-0.0342,-0.0373,-0.0090,-0.0227,-0.0140,-0.0417,-0.0232,0.0555,1.0000,0.0093,-0.0265,-0.0704
oi_chg,0.0230,0.0287,0.0127,0.0043,0.0111,0.0267,0.0120,0.0151,0.0093,1.0000,0.0097,-0.0033
drawdown,0.1360,0.2870,0.5131,0.8124,0.5495,0.3875,0.7505,0.4028,-0.0265,0.0097,1.0000,-0.0090
days_to_roll,0.0009,0.0079,0.0296,0.0031,0.0287,0.0083,0.0216,-0.0088,-0.0704,-0.0033,-0.0090,1.0000
