,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0049,0.9783,-3.7826,4.3711,0.0000,0.0000,0.0098
ret_5d,0.0056,0.9770,-3.2582,4.2256,0.0000,0.0000,0.0032
ret_21d,-0.0269,0.9584,-2.8718,3.4636,0.0000,0.0000,0.0018
ret_126d,-0.1295,0.9232,-3.1960,2.4866,0.0000,0.0000,0.0000
macd_8_24,-0.0518,1.0920,-2.7756,3.3370,0.0000,0.0000,0.0000
rsi_5,-0.0192,0.4008,-0.9698,0.9880,0.0000,0.0000,0.0000
rsi_30,-0.0103,0.1571,-0.4114,0.6059,0.0000,0.0000,0.0000
atr_norm,1.0047,0.4111,0.2359,4.7126,0.0000,0.0000,0.0000
vol_norm,1.0316,0.5352,0.0000,20.0000,0.0000,0.0000,0.0039
oi_chg,0.0024,0.1189,-1.0000,5.0000,0.0000,0.0000,0.0091
drawdown,-0.1518,0.0936,-0.4389,0.0000,0.0000,0.0000,0.0406
days_to_roll,0.2694,0.3335,-0.5000,0.5111,0.0000,0.0000,0.0052
