,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4412,0.2264,0.0998,0.1012,0.5505,0.2702,-0.1909,-0.0588,-0.0012,0.1204,-0.0033
ret_5d,0.4412,1.0000,0.4905,0.2269,0.4713,0.8643,0.5562,-0.3489,-0.1129,0.0156,0.2520,-0.0326
ret_21d,0.2264,0.4905,1.0000,0.4367,0.8722,0.6527,0.8564,-0.1776,-0.0283,0.0290,0.4580,-0.0545
ret_126d,0.0998,0.2269,0.4367,1.0000,0.4518,0.2882,0.6632,-0.0253,-0.0080,0.0301,0.7210,0.0490
macd_8_24,0.1012,0.4713,0.8722,0.4518,1.0000,0.6205,0.8517,-0.2049,-0.0229,0.0169,0.4841,-0.0391
rsi_5,0.5505,0.8643,0.6527,0.2882,0.6205,1.0000,0.6892,-0.3597,-0.0964,0.0257,0.3181,-0.0451
rsi_30,0.2702,0.5562,0.8564,0.6632,0.8517,0.6892,1.0000,-0.1871,-0.0369,0.0407,0.6529,-0.0348
atr_norm,-0.1909,-0.3489,-0.1776,-0.0253,-0.2049,-0.3597,-0.1871,1.0000,0.1484,-0.0042,-0.0457,-0.0033
vol_norm,-0.0588,-0.1129,-0.0283,-0.0080,-0.0229,-0.0964,-0.0369,0.1484,1.0000,0.0838,-0.0189,-0.0038
oi_chg,-0.0012,0.0156,0.0290,0.0301,0.0169,0.0257,0.0407,-0.0042,0.0838,1.0000,0.0053,-0.0093
drawdown,0.1204,0.2520,0.4580,0.7210,0.4841,0.3181,0.6529,-0.0457,-0.0189,0.0053,1.0000,-0.0221
days_to_roll,-0.0033,-0.0326,-0.0545,0.0490,-0.0391,-0.0451,-0.0348,-0.0033,-0.0038,-0.0093,-0.0221,1.0000
