,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0324,0.9869,-4.1353,3.5937,0.0000,0.0000,0.0040
ret_5d,0.0836,0.9627,-4.7780,2.8715,0.0000,0.0000,0.0013
ret_21d,0.2118,0.8989,-2.8728,3.2534,0.0000,0.0000,0.0005
ret_126d,0.4881,0.8324,-2.3286,3.3662,0.0000,0.0000,0.0000
macd_8_24,0.2566,1.0633,-3.4152,2.9852,0.0000,0.0000,0.0000
rsi_5,0.0847,0.3851,-0.9613,0.9380,0.0000,0.0000,0.0000
rsi_30,0.0590,0.1457,-0.4981,0.4185,0.0000,0.0000,0.0000
atr_norm,1.0128,0.4404,0.0086,4.6897,0.0000,0.0000,0.0000
vol_norm,1.0743,1.0882,0.0000,18.8668,0.0000,0.0000,0.0087
oi_chg,0.0135,0.2859,-1.0000,5.0000,0.0000,0.0000,0.0246
drawdown,-0.0566,0.0748,-0.5396,0.0000,0.0000,0.0000,0.1027
days_to_roll,0.0238,0.3297,-0.5000,1.5111,0.0000,0.0000,0.0002
