,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4504,0.2414,0.1146,0.1185,0.5532,0.2762,-0.1780,-0.0857,0.0280,0.1411,0.0037
ret_5d,0.4504,1.0000,0.5128,0.2485,0.4876,0.8673,0.5677,-0.0830,-0.1182,0.0102,0.2910,0.0120
ret_21d,0.2414,0.5128,1.0000,0.4764,0.8706,0.6546,0.8708,0.0202,-0.0255,0.0071,0.5075,0.0564
ret_126d,0.1146,0.2485,0.4764,1.0000,0.4548,0.3048,0.6919,0.0212,0.0025,0.0271,0.7277,0.0000
macd_8_24,0.1185,0.4876,0.8706,0.4548,1.0000,0.6297,0.8490,0.0371,-0.0393,0.0000,0.5430,0.0634
rsi_5,0.5532,0.8673,0.6546,0.3048,0.6297,1.0000,0.6832,-0.0748,-0.1006,0.0137,0.3661,0.0273
rsi_30,0.2762,0.5677,0.8708,0.6919,0.8490,0.6832,1.0000,0.0086,-0.0392,0.0114,0.6851,0.0293
atr_norm,-0.1780,-0.0830,0.0202,0.0212,0.0371,-0.0748,0.0086,1.0000,0.0818,-0.0113,0.0102,0.0055
vol_norm,-0.0857,-0.1182,-0.0255,0.0025,-0.0393,-0.1006,-0.0392,0.0818,1.0000,0.2662,0.0032,-0.0042
oi_chg,0.0280,0.0102,0.0071,0.0271,0.0000,0.0137,0.0114,-0.0113,0.2662,1.0000,0.0358,-0.0043
drawdown,0.1411,0.2910,0.5075,0.7277,0.5430,0.3661,0.6851,0.0102,0.0032,0.0358,1.0000,-0.0131
days_to_roll,0.0037,0.0120,0.0564,0.0000,0.0634,0.0273,0.0293,0.0055,-0.0042,-0.0043,-0.0131,1.0000
