,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0378,0.9875,-4.3088,4.3299,0.0000,0.0000,0.0281
ret_5d,0.0929,0.9632,-4.1194,3.3418,0.0000,0.0000,0.0042
ret_21d,0.2122,0.9463,-2.8203,3.7057,0.0000,0.0000,0.0009
ret_126d,0.3856,0.8971,-2.2570,3.3838,0.0000,0.0000,0.0000
macd_8_24,0.2066,1.0490,-3.2517,2.9254,0.0000,0.0000,0.0000
rsi_5,0.0778,0.3898,-0.9477,0.9456,0.0000,0.0000,0.0000
rsi_30,0.0536,0.1597,-0.5402,0.6616,0.0000,0.0000,0.0000
atr_norm,1.0053,0.2864,0.0105,3.5539,0.0000,0.0000,0.0000
vol_norm,1.0325,0.7355,0.0000,9.7823,0.0000,0.0000,0.0102
oi_chg,0.1284,0.8567,-0.9301,5.0000,0.0000,0.0000,0.0228
drawdown,-0.0700,0.0759,-0.5156,0.0000,0.0000,0.0000,0.0856
days_to_roll,-0.0047,0.2937,-0.5000,0.5111,0.0000,0.0000,0.0109
