,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4637,0.2262,0.1147,0.1163,0.5594,0.2797,0.0517,-0.0197,0.0230,0.1279,-0.0040
ret_5d,0.4637,1.0000,0.4966,0.2428,0.4777,0.8687,0.5710,0.0528,-0.0057,0.0226,0.2699,-0.0082
ret_21d,0.2262,0.4966,1.0000,0.4377,0.8716,0.6533,0.8628,0.0460,0.0119,0.0199,0.4779,-0.0116
ret_126d,0.1147,0.2428,0.4377,1.0000,0.4381,0.2977,0.6743,0.0283,-0.0058,0.0251,0.6640,-0.0382
macd_8_24,0.1163,0.4777,0.8716,0.4381,1.0000,0.6434,0.8454,0.0483,0.0201,0.0171,0.4833,-0.0311
rsi_5,0.5594,0.8687,0.6533,0.2977,0.6434,1.0000,0.7026,0.0615,-0.0081,0.0205,0.3546,-0.0072
rsi_30,0.2797,0.5710,0.8628,0.6743,0.8454,0.7026,1.0000,0.0619,0.0035,0.0302,0.6691,-0.0245
atr_norm,0.0517,0.0528,0.0460,0.0283,0.0483,0.0615,0.0619,1.0000,0.1194,0.0156,0.0448,0.0171
vol_norm,-0.0197,-0.0057,0.0119,-0.0058,0.0201,-0.0081,0.0035,0.1194,1.0000,0.0723,-0.0035,0.0134
oi_chg,0.0230,0.0226,0.0199,0.0251,0.0171,0.0205,0.0302,0.0156,0.0723,1.0000,0.0225,0.0078
drawdown,0.1279,0.2699,0.4779,0.6640,0.4833,0.3546,0.6691,0.0448,-0.0035,0.0225,1.0000,-0.1013
days_to_roll,-0.0040,-0.0082,-0.0116,-0.0382,-0.0311,-0.0072,-0.0245,0.0171,0.0134,0.0078,-0.1013,1.0000
