,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0035,0.9731,-3.4363,3.9469,0.0000,0.0000,0.0210
ret_5d,-0.0087,1.0341,-4.4786,5.2407,0.0000,0.0000,0.0105
ret_21d,-0.0361,1.0432,-3.5679,3.9920,0.0000,0.0000,0.0021
ret_126d,-0.2090,0.9802,-4.2850,3.3629,0.0000,0.0000,0.0000
macd_8_24,-0.0604,1.0430,-3.1940,2.7685,0.0000,0.0000,0.0000
rsi_5,-0.0161,0.4186,-0.9652,0.9954,0.0000,0.0000,0.0000
rsi_30,-0.0155,0.1662,-0.4616,0.7675,0.0000,0.0000,0.0000
atr_norm,1.0037,0.5552,0.0000,6.5266,0.0000,0.0000,0.0014
vol_norm,1.0664,1.3194,0.0000,17.3045,0.0000,0.0000,0.0130
oi_chg,0.0040,0.1565,-1.0000,5.0000,0.0000,0.0000,0.0114
drawdown,-0.1271,0.1025,-0.4416,0.0000,0.0000,0.0000,0.0501
days_to_roll,0.3425,0.3009,-0.5000,0.5000,0.0000,0.0000,0.0035
