,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0053,0.9806,-3.7635,3.8487,0.0000,0.0000,0.0185
ret_5d,0.0088,0.9964,-3.2890,4.0908,0.0000,0.0000,0.0066
ret_21d,-0.0113,1.0286,-3.9776,3.3883,0.0000,0.0000,0.0039
ret_126d,-0.1551,1.0289,-3.0292,2.9638,0.0000,0.0000,0.0007
macd_8_24,-0.0405,1.0906,-3.4196,3.2353,0.0000,0.0000,0.0000
rsi_5,-0.0129,0.4073,-0.9585,0.9615,0.0000,0.0000,0.0000
rsi_30,-0.0093,0.1724,-0.4555,0.6394,0.0000,0.0000,0.0000
atr_norm,1.0028,0.3879,0.3024,3.7045,0.0000,0.0000,0.0000
vol_norm,1.0287,0.5174,0.0000,20.0000,0.0000,0.0000,0.0038
oi_chg,0.0010,0.0691,-1.0000,5.0000,0.0000,0.0000,0.0082
drawdown,-0.1447,0.1052,-0.5319,0.0000,0.0000,0.0000,0.0481
days_to_roll,0.5000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000
