,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0502,0.9789,-4.7476,3.2017,0.0000,0.0000,0.0224
ret_5d,0.1267,0.9216,-4.3040,3.1685,0.0000,0.0000,0.0016
ret_21d,0.3056,0.8617,-2.5175,3.5751,0.0000,0.0000,0.0007
ret_126d,0.6708,0.9038,-2.2843,3.0569,0.0000,0.0000,0.0000
macd_8_24,0.3629,1.0917,-3.1880,4.1950,0.0000,0.0000,0.0000
rsi_5,0.1257,0.3918,-0.9408,0.9124,0.0000,0.0000,0.0000
rsi_30,0.0873,0.1551,-0.4470,0.6364,0.0000,0.0000,0.0000
atr_norm,0.9985,0.1746,0.0004,3.8743,0.0000,0.0000,0.0000
vol_norm,1.0776,0.8616,0.0031,6.6309,0.0000,0.0000,0.0000
oi_chg,0.0045,0.1043,-1.0000,5.0000,0.0000,0.0000,0.0103
drawdown,-0.0426,0.0686,-0.4784,0.0000,0.0000,0.0000,0.1445
days_to_roll,0.3031,0.3058,-0.5000,0.5778,0.0000,0.0000,0.0002
