,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0002,0.9722,-4.1847,5.4537,0.0000,0.0000,0.0111
ret_5d,-0.0047,0.9723,-3.1049,3.4935,0.0000,0.0000,0.0039
ret_21d,-0.0151,0.9638,-3.4925,3.5420,0.0000,0.0000,0.0016
ret_126d,-0.0148,0.8429,-3.2630,2.8559,0.0000,0.0000,0.0000
macd_8_24,-0.0104,1.0427,-2.7571,3.1030,0.0000,0.0000,0.0000
rsi_5,-0.0178,0.4048,-0.9424,0.9785,0.0000,0.0000,0.0000
rsi_30,-0.0038,0.1562,-0.5021,0.6760,0.0000,0.0000,0.0000
atr_norm,1.0043,0.4456,0.1134,12.5340,0.0000,0.0000,0.0000
vol_norm,1.0191,0.5497,0.0000,11.6118,0.0000,0.0000,0.0007
oi_chg,0.0022,0.0602,-0.5553,0.2879,0.0000,0.0000,0.0106
drawdown,-0.0355,0.0309,-0.2028,0.0000,0.0000,0.0000,0.0447
days_to_roll,0.5000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000
