,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0503,0.9788,-4.7476,3.2022,0.0000,0.0000,0.0226
ret_5d,0.1271,0.9218,-4.3052,3.1697,0.0000,0.0000,0.0018
ret_21d,0.3064,0.8622,-2.5167,3.5758,0.0000,0.0000,0.0007
ret_126d,0.6731,0.9061,-2.2842,3.0473,0.0000,0.0000,0.0000
macd_8_24,0.3632,1.0916,-3.1876,4.1744,0.0000,0.0000,0.0000
rsi_5,0.1259,0.3916,-0.9408,0.9124,0.0000,0.0000,0.0000
rsi_30,0.0874,0.1551,-0.4470,0.6364,0.0000,0.0000,0.0000
atr_norm,1.0024,0.0341,0.4362,1.2180,0.0000,0.0000,0.0000
vol_norm,1.0866,0.9216,0.0000,14.4810,0.0000,0.0000,0.0020
oi_chg,0.0095,0.1974,-1.0000,5.0000,0.0000,0.0000,0.0119
drawdown,-0.0426,0.0686,-0.4784,0.0000,0.0000,0.0000,0.1449
days_to_roll,0.5000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000
