,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0173,0.9807,-4.2377,3.9342,0.0000,0.0000,0.0216
ret_5d,0.0372,0.9596,-3.7571,3.7965,0.0000,0.0000,0.0061
ret_21d,0.0741,0.9702,-3.1633,3.8378,0.0000,0.0000,0.0036
ret_126d,0.1984,0.9466,-2.2871,2.8864,0.0000,0.0000,0.0000
macd_8_24,0.1022,1.0599,-3.5384,2.9444,0.0000,0.0000,0.0000
rsi_5,0.0232,0.3880,-0.9292,0.9866,0.0000,0.0000,0.0000
rsi_30,0.0209,0.1592,-0.4909,0.6276,0.0000,0.0000,0.0000
atr_norm,1.0048,0.4146,0.2558,5.3989,0.0000,0.0000,0.0000
vol_norm,1.0218,0.4559,0.0000,4.1692,0.0000,0.0000,0.0004
oi_chg,0.0012,0.0708,-0.9971,5.0000,0.0000,0.0000,0.0082
drawdown,-0.0235,0.0213,-0.1244,0.0000,0.0000,0.0000,0.0585
days_to_roll,0.5000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000
