,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0276,0.9777,-4.7638,3.9960,0.0000,0.0000,0.0274
ret_5d,0.0628,0.9585,-3.9555,4.3672,0.0000,0.0000,0.0110
ret_21d,0.1376,0.9663,-2.9275,3.0224,0.0000,0.0000,0.0060
ret_126d,0.3685,0.9681,-2.6652,2.9448,0.0000,0.0000,0.0021
macd_8_24,0.2084,1.1045,-4.6132,3.5999,0.0000,0.0000,0.0000
rsi_5,0.0486,0.4019,-0.9449,0.9582,0.0000,0.0000,0.0000
rsi_30,0.0414,0.1633,-0.4752,0.5186,0.0000,0.0000,0.0000
atr_norm,1.0071,0.4421,0.2433,5.8275,0.0000,0.0000,0.0000
vol_norm,1.0239,0.5070,0.0000,5.1671,0.0000,0.0000,0.0025
oi_chg,0.0097,0.2399,-1.0000,5.0000,0.0000,0.0000,0.0446
drawdown,-0.0126,0.0143,-0.0919,0.0000,0.0000,0.0000,0.0860
days_to_roll,0.2220,0.3340,-0.5000,0.5111,0.0000,0.0000,0.0058
