,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0291,0.9802,-4.5576,4.3332,0.0000,0.0000,0.0159
ret_5d,0.0771,0.9281,-4.1813,2.9275,0.0000,0.0000,0.0041
ret_21d,0.1989,0.8709,-2.7064,2.7263,0.0000,0.0000,0.0016
ret_126d,0.4342,0.8558,-2.0810,3.3367,0.0000,0.0000,0.0000
macd_8_24,0.2172,1.0613,-3.4137,3.1299,0.0000,0.0000,0.0000
rsi_5,0.0860,0.3829,-0.9504,0.9402,0.0000,0.0000,0.0000
rsi_30,0.0550,0.1457,-0.5182,0.4443,0.0000,0.0000,0.0000
atr_norm,1.0135,0.4485,0.2311,5.9136,0.0000,0.0000,0.0000
vol_norm,1.0257,0.5126,0.0000,4.3606,0.0000,0.0000,0.0023
oi_chg,0.0112,0.2564,-1.0000,5.0000,0.0000,0.0000,0.0425
drawdown,-0.0589,0.0739,-0.4648,0.0000,0.0000,0.0000,0.1035
days_to_roll,0.2097,0.3351,-0.5000,0.5778,0.0000,0.0000,0.0002
