,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4368,0.2216,0.0943,0.0991,0.5472,0.2654,-0.2197,-0.0497,-0.0213,0.1241,0.0182
ret_5d,0.4368,1.0000,0.4807,0.2130,0.4675,0.8556,0.5430,-0.3605,-0.1019,-0.0132,0.2599,0.0371
ret_21d,0.2216,0.4807,1.0000,0.4469,0.8734,0.6557,0.8486,-0.1908,-0.0653,0.0002,0.4728,0.0421
ret_126d,0.0943,0.2130,0.4469,1.0000,0.4864,0.2954,0.6907,-0.0250,-0.0042,-0.0046,0.7367,0.0647
macd_8_24,0.0991,0.4675,0.8734,0.4864,1.0000,0.6261,0.8615,-0.2007,-0.0608,-0.0036,0.5213,0.0297
rsi_5,0.5472,0.8556,0.6557,0.2954,0.6261,1.0000,0.6890,-0.3645,-0.0859,-0.0180,0.3511,0.0494
rsi_30,0.2654,0.5430,0.8486,0.6907,0.8615,0.6890,1.0000,-0.1896,-0.0558,-0.0135,0.6743,0.0563
atr_norm,-0.2197,-0.3605,-0.1908,-0.0250,-0.2007,-0.3645,-0.1896,1.0000,0.0509,0.0241,-0.0500,0.0047
vol_norm,-0.0497,-0.1019,-0.0653,-0.0042,-0.0608,-0.0859,-0.0558,0.0509,1.0000,0.0508,-0.0188,0.0869
oi_chg,-0.0213,-0.0132,0.0002,-0.0046,-0.0036,-0.0180,-0.0135,0.0241,0.0508,1.0000,-0.0138,-0.0310
drawdown,0.1241,0.2599,0.4728,0.7367,0.5213,0.3511,0.6743,-0.0500,-0.0188,-0.0138,1.0000,0.0709
days_to_roll,0.0182,0.0371,0.0421,0.0647,0.0297,0.0494,0.0563,0.0047,0.0869,-0.0310,0.0709,1.0000
