,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0434,0.9827,-4.7628,3.8476,0.0000,0.0000,0.0059
ret_5d,0.1102,0.9701,-4.3059,3.4112,0.0000,0.0000,0.0011
ret_21d,0.2723,0.9341,-2.5865,3.6772,0.0000,0.0000,0.0004
ret_126d,0.6195,0.9231,-2.1982,4.0481,0.0000,0.0000,0.0000
macd_8_24,0.2850,1.0806,-3.3970,2.7562,0.0000,0.0000,0.0000
rsi_5,0.1062,0.4041,-0.9328,0.9656,0.0000,0.0000,0.0000
rsi_30,0.0781,0.1598,-0.4639,0.6753,0.0000,0.0000,0.0000
atr_norm,1.0143,0.4512,0.1779,5.7326,0.0000,0.0000,0.0000
vol_norm,1.0118,0.3252,0.0000,3.4180,0.0000,0.0000,0.0011
oi_chg,0.0076,0.1999,-1.0000,5.0000,0.0000,0.0000,0.0104
drawdown,-0.0428,0.0596,-0.4307,0.0000,0.0000,0.0000,0.1216
days_to_roll,0.1804,0.3354,-0.5000,0.5778,0.0000,0.0000,0.0002
