,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4445,0.2412,0.0796,0.1231,0.5510,0.2609,0.0376,0.0316,0.1154,0.1314,-0.0298
ret_5d,0.4445,1.0000,0.5241,0.1858,0.5048,0.8710,0.5472,0.0712,0.0571,0.1326,0.2794,-0.0203
ret_21d,0.2412,0.5241,1.0000,0.3896,0.8673,0.6762,0.8585,0.0984,0.0741,0.1227,0.5075,-0.0187
ret_126d,0.0796,0.1858,0.3896,1.0000,0.3637,0.2579,0.6558,0.0568,0.0219,0.0238,0.7695,-0.0016
macd_8_24,0.1231,0.5048,0.8673,0.3637,1.0000,0.6498,0.8284,0.1117,0.0803,0.1259,0.4864,-0.0109
rsi_5,0.5510,0.8710,0.6762,0.2579,0.6498,1.0000,0.6902,0.0911,0.0564,0.1419,0.3797,-0.0265
rsi_30,0.2609,0.5472,0.8585,0.6558,0.8284,0.6902,1.0000,0.1028,0.0614,0.1217,0.7334,-0.0152
atr_norm,0.0376,0.0712,0.0984,0.0568,0.1117,0.0911,0.1028,1.0000,0.4225,0.1028,0.0860,-0.0181
vol_norm,0.0316,0.0571,0.0741,0.0219,0.0803,0.0564,0.0614,0.4225,1.0000,0.0849,0.0478,-0.0083
oi_chg,0.1154,0.1326,0.1227,0.0238,0.1259,0.1419,0.1217,0.1028,0.0849,1.0000,0.0866,-0.0252
drawdown,0.1314,0.2794,0.5075,0.7695,0.4864,0.3797,0.7334,0.0860,0.0478,0.0866,1.0000,-0.0074
days_to_roll,-0.0298,-0.0203,-0.0187,-0.0016,-0.0109,-0.0265,-0.0152,-0.0181,-0.0083,-0.0252,-0.0074,1.0000
