,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4568,0.2408,0.0964,0.1293,0.5619,0.2712,-0.0725,-0.0334,0.1010,0.1400,-0.0042
ret_5d,0.4568,1.0000,0.5205,0.2084,0.4943,0.8805,0.5618,-0.1403,-0.0547,0.1411,0.2924,0.0039
ret_21d,0.2408,0.5205,1.0000,0.4027,0.8858,0.6744,0.8681,-0.0543,0.0372,0.1136,0.5028,-0.0015
ret_126d,0.0964,0.2084,0.4027,1.0000,0.4124,0.2614,0.6423,0.0072,0.0343,0.0312,0.6796,-0.0115
macd_8_24,0.1293,0.4943,0.8858,0.4124,1.0000,0.6479,0.8591,-0.0651,0.0366,0.1136,0.5436,0.0095
rsi_5,0.5619,0.8805,0.6744,0.2614,0.6479,1.0000,0.6890,-0.1458,-0.0434,0.1556,0.3479,0.0095
rsi_30,0.2712,0.5618,0.8681,0.6423,0.8591,0.6890,1.0000,-0.0551,0.0261,0.1037,0.6942,-0.0011
atr_norm,-0.0725,-0.1403,-0.0543,0.0072,-0.0651,-0.1458,-0.0551,1.0000,0.4611,-0.0293,-0.0101,0.0063
vol_norm,-0.0334,-0.0547,0.0372,0.0343,0.0366,-0.0434,0.0261,0.4611,1.0000,0.0452,0.0508,0.0235
oi_chg,0.1010,0.1411,0.1136,0.0312,0.1136,0.1556,0.1037,-0.0293,0.0452,1.0000,0.0742,0.0105
drawdown,0.1400,0.2924,0.5028,0.6796,0.5436,0.3479,0.6942,-0.0101,0.0508,0.0742,1.0000,0.0056
days_to_roll,-0.0042,0.0039,-0.0015,-0.0115,0.0095,0.0095,-0.0011,0.0063,0.0235,0.0105,0.0056,1.0000
