,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4537,0.2245,0.1277,0.1193,0.5454,0.2761,0.2347,-0.0229,0.1221,0.1822,0.0107
ret_5d,0.4537,1.0000,0.4956,0.2823,0.4857,0.8747,0.5688,0.6687,0.0597,0.0939,0.3705,0.0048
ret_21d,0.2245,0.4956,1.0000,0.4837,0.8863,0.6497,0.8627,0.7720,0.1118,0.0533,0.5918,-0.0060
ret_126d,0.1277,0.2823,0.4837,1.0000,0.4807,0.3525,0.7069,0.3928,0.0424,0.0257,0.7236,-0.0085
macd_8_24,0.1193,0.4857,0.8863,0.4807,1.0000,0.6470,0.8672,0.7948,0.1193,0.0493,0.6305,-0.0118
rsi_5,0.5454,0.8747,0.6497,0.3525,0.6470,1.0000,0.6998,0.7714,0.0688,0.1134,0.4576,0.0006
rsi_30,0.2761,0.5688,0.8627,0.7069,0.8672,0.6998,1.0000,0.7504,0.0923,0.0580,0.7702,-0.0093
atr_norm,0.2347,0.6687,0.7720,0.3928,0.7948,0.7714,0.7504,1.0000,0.1650,0.0614,0.5335,-0.0014
vol_norm,-0.0229,0.0597,0.1118,0.0424,0.1193,0.0688,0.0923,0.1650,1.0000,0.0032,0.0701,0.0144
oi_chg,0.1221,0.0939,0.0533,0.0257,0.0493,0.1134,0.0580,0.0614,0.0032,1.0000,0.0458,0.0113
drawdown,0.1822,0.3705,0.5918,0.7236,0.6305,0.4576,0.7702,0.5335,0.0701,0.0458,1.0000,-0.0048
days_to_roll,0.0107,0.0048,-0.0060,-0.0085,-0.0118,0.0006,-0.0093,-0.0014,0.0144,0.0113,-0.0048,1.0000
