,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0424,0.9854,-4.7225,4.2015,0.0000,0.0000,0.0240
ret_5d,0.0939,0.9819,-3.3775,3.6028,0.0000,0.0000,0.0013
ret_21d,0.1685,0.9698,-2.7260,3.6048,0.0000,0.0000,0.0004
ret_126d,0.2953,0.8621,-2.4200,2.8543,0.0000,0.0000,0.0000
macd_8_24,0.1748,1.0587,-2.4808,3.3432,0.0000,0.0000,0.0000
rsi_5,0.0531,0.4120,-0.9206,0.9610,0.0000,0.0000,0.0000
rsi_30,0.0400,0.1639,-0.5148,0.5681,0.0000,0.0000,0.0000
atr_norm,1.0045,0.0273,0.8439,1.1812,0.0000,0.0000,0.0000
vol_norm,1.0163,0.3617,0.0000,4.1211,0.0000,0.0000,0.0005
oi_chg,0.0010,0.0460,-0.4911,0.9302,0.0000,0.0000,0.0100
drawdown,-0.0640,0.0516,-0.2796,0.0000,0.0000,0.0000,0.0749
days_to_roll,0.5000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000
