,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4572,0.2309,0.1015,0.1252,0.5494,0.2701,0.0413,0.0192,0.0487,0.1241,-0.0114
ret_5d,0.4572,1.0000,0.4972,0.2256,0.4908,0.8709,0.5564,0.1425,0.0081,0.0316,0.2596,0.0060
ret_21d,0.2309,0.4972,1.0000,0.4356,0.8804,0.6627,0.8678,0.1910,0.0476,0.0057,0.4722,0.0148
ret_126d,0.1015,0.2256,0.4356,1.0000,0.4169,0.3077,0.6654,0.1038,0.0088,-0.0215,0.8146,0.0106
macd_8_24,0.1252,0.4908,0.8804,0.4169,1.0000,0.6590,0.8387,0.2085,0.0461,-0.0091,0.4555,0.0045
rsi_5,0.5494,0.8709,0.6627,0.3077,0.6590,1.0000,0.7017,0.1640,0.0132,0.0460,0.3519,0.0055
rsi_30,0.2701,0.5564,0.8678,0.6654,0.8387,0.7017,1.0000,0.1878,0.0258,-0.0140,0.6846,0.0083
atr_norm,0.0413,0.1425,0.1910,0.1038,0.2085,0.1640,0.1878,1.0000,0.0914,-0.0284,0.0909,-0.0011
vol_norm,0.0192,0.0081,0.0476,0.0088,0.0461,0.0132,0.0258,0.0914,1.0000,0.0045,0.0294,-0.0033
oi_chg,0.0487,0.0316,0.0057,-0.0215,-0.0091,0.0460,-0.0140,-0.0284,0.0045,1.0000,-0.0072,0.0422
drawdown,0.1241,0.2596,0.4722,0.8146,0.4555,0.3519,0.6846,0.0909,0.0294,-0.0072,1.0000,0.0026
days_to_roll,-0.0114,0.0060,0.0148,0.0106,0.0045,0.0055,0.0083,-0.0011,-0.0033,0.0422,0.0026,1.0000
