,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4529,0.2299,0.1056,0.1250,0.5601,0.2721,0.0661,0.0246,0.0094,0.1409,0.0018
ret_5d,0.4529,1.0000,0.5116,0.2393,0.4941,0.8829,0.5646,0.0933,0.0423,0.0109,0.2979,-0.0001
ret_21d,0.2299,0.5116,1.0000,0.4704,0.8926,0.6611,0.8710,0.0821,0.0370,0.0356,0.5288,-0.0234
ret_126d,0.1056,0.2393,0.4704,1.0000,0.4747,0.3175,0.7084,0.0508,0.0221,0.0573,0.7249,-0.0230
macd_8_24,0.1250,0.4941,0.8926,0.4747,1.0000,0.6465,0.8624,0.0860,0.0401,0.0255,0.5372,-0.0142
rsi_5,0.5601,0.8829,0.6611,0.3175,0.6465,1.0000,0.7001,0.0965,0.0457,0.0147,0.3845,-0.0032
rsi_30,0.2721,0.5646,0.8710,0.7084,0.8624,0.7001,1.0000,0.0961,0.0412,0.0476,0.7183,-0.0215
atr_norm,0.0661,0.0933,0.0821,0.0508,0.0860,0.0965,0.0961,1.0000,0.3780,-0.0101,0.0545,-0.0179
vol_norm,0.0246,0.0423,0.0370,0.0221,0.0401,0.0457,0.0412,0.3780,1.0000,-0.0136,0.0221,-0.0036
oi_chg,0.0094,0.0109,0.0356,0.0573,0.0255,0.0147,0.0476,-0.0101,-0.0136,1.0000,0.0076,0.0081
drawdown,0.1409,0.2979,0.5288,0.7249,0.5372,0.3845,0.7183,0.0545,0.0221,0.0076,1.0000,-0.0172
days_to_roll,0.0018,-0.0001,-0.0234,-0.0230,-0.0142,-0.0032,-0.0215,-0.0179,-0.0036,0.0081,-0.0172,1.0000
