,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4495,0.2328,0.1012,0.1133,0.5477,0.2682,0.0863,0.0734,-0.0168,0.0963,0.0053
ret_5d,0.4495,1.0000,0.5054,0.2198,0.4828,0.8737,0.5530,0.2324,0.1172,-0.0322,0.2006,0.0125
ret_21d,0.2328,0.5054,1.0000,0.4232,0.8812,0.6637,0.8604,0.1591,0.0153,-0.0226,0.3668,0.0369
ret_126d,0.1012,0.2198,0.4232,1.0000,0.4334,0.2947,0.6729,0.0745,0.0034,-0.0209,0.5836,0.0721
macd_8_24,0.1133,0.4828,0.8812,0.4334,1.0000,0.6431,0.8481,0.1736,0.0279,-0.0238,0.3688,0.0439
rsi_5,0.5477,0.8737,0.6637,0.2947,0.6431,1.0000,0.6930,0.2395,0.1058,-0.0395,0.2727,0.0238
rsi_30,0.2682,0.5530,0.8604,0.6729,0.8481,0.6930,1.0000,0.1821,0.0287,-0.0330,0.5346,0.0530
atr_norm,0.0863,0.2324,0.1591,0.0745,0.1736,0.2395,0.1821,1.0000,0.2922,0.0779,0.0979,-0.0002
vol_norm,0.0734,0.1172,0.0153,0.0034,0.0279,0.1058,0.0287,0.2922,1.0000,0.0435,0.0063,-0.0104
oi_chg,-0.0168,-0.0322,-0.0226,-0.0209,-0.0238,-0.0395,-0.0330,0.0779,0.0435,1.0000,-0.0076,-0.0330
drawdown,0.0963,0.2006,0.3668,0.5836,0.3688,0.2727,0.5346,0.0979,0.0063,-0.0076,1.0000,-0.0659
days_to_roll,0.0053,0.0125,0.0369,0.0721,0.0439,0.0238,0.0530,-0.0002,-0.0104,-0.0330,-0.0659,1.0000
