,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0243,0.9752,-3.9548,4.7542,0.0000,0.0000,0.0043
ret_5d,-0.0612,0.9582,-3.3150,3.7034,0.0000,0.0000,0.0014
ret_21d,-0.1563,0.9406,-3.5388,2.7788,0.0000,0.0000,0.0013
ret_126d,-0.5196,0.9581,-3.7376,2.4606,0.0000,0.0000,0.0011
macd_8_24,-0.2026,1.0535,-3.2420,3.1963,0.0000,0.0000,0.0000
rsi_5,-0.0539,0.3915,-0.9435,0.9632,0.0000,0.0000,0.0000
rsi_30,-0.0493,0.1548,-0.5340,0.6292,0.0000,0.0000,0.0000
atr_norm,1.0037,0.3970,0.1864,4.9689,0.0000,0.0000,0.0000
vol_norm,1.0104,0.3356,0.0000,10.2783,0.0000,0.0000,0.0043
oi_chg,0.0003,0.0099,-0.0986,0.1181,0.0000,0.0000,0.0104
drawdown,-0.1131,0.0971,-0.5690,0.0000,0.0000,0.0000,0.0265
days_to_roll,0.2758,0.3750,-0.5000,0.5000,0.0000,0.0000,0.0002
