,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4540,0.2269,0.0983,0.1164,0.5606,0.2717,0.2298,0.0018,0.0098,0.1487,0.0217
ret_5d,0.4540,1.0000,0.5005,0.2186,0.4847,0.8714,0.5564,0.6708,0.0253,0.0211,0.3083,0.0076
ret_21d,0.2269,0.5005,1.0000,0.4128,0.8846,0.6475,0.8553,0.7654,0.0608,0.0265,0.5426,-0.0018
ret_126d,0.0983,0.2186,0.4128,1.0000,0.4409,0.2802,0.6658,0.3124,0.0084,0.0273,0.8206,-0.0148
macd_8_24,0.1164,0.4847,0.8846,0.4409,1.0000,0.6362,0.8593,0.7857,0.0547,0.0179,0.5672,-0.0080
rsi_5,0.5606,0.8714,0.6475,0.2802,0.6362,1.0000,0.6852,0.7622,0.0395,0.0096,0.3993,0.0144
rsi_30,0.2717,0.5564,0.8553,0.6658,0.8593,0.6852,1.0000,0.7303,0.0371,0.0310,0.7736,-0.0056
atr_norm,0.2298,0.6708,0.7654,0.3124,0.7857,0.7622,0.7303,1.0000,0.0934,0.0109,0.4467,0.0099
vol_norm,0.0018,0.0253,0.0608,0.0084,0.0547,0.0395,0.0371,0.0934,1.0000,0.0146,0.0115,0.0275
oi_chg,0.0098,0.0211,0.0265,0.0273,0.0179,0.0096,0.0310,0.0109,0.0146,1.0000,-0.0015,0.0156
drawdown,0.1487,0.3083,0.5426,0.8206,0.5672,0.3993,0.7736,0.4467,0.0115,-0.0015,1.0000,-0.0098
days_to_roll,0.0217,0.0076,-0.0018,-0.0148,-0.0080,0.0144,-0.0056,0.0099,0.0275,0.0156,-0.0098,1.0000
