,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4483,0.2216,0.0990,0.1022,0.5524,0.2691,0.0827,0.0003,0.2191,0.1377,0.0176
ret_5d,0.4483,1.0000,0.4851,0.2072,0.4691,0.8743,0.5563,0.1474,-0.0017,0.2432,0.2968,0.0117
ret_21d,0.2216,0.4851,1.0000,0.3925,0.8691,0.6299,0.8522,0.1851,0.0415,0.1883,0.5300,0.0098
ret_126d,0.0990,0.2072,0.3925,1.0000,0.4220,0.2580,0.6347,0.0406,0.0146,0.0533,0.7333,0.0115
macd_8_24,0.1022,0.4691,0.8691,0.4220,1.0000,0.6186,0.8625,0.1957,0.0363,0.1857,0.5688,0.0071
rsi_5,0.5524,0.8743,0.6299,0.2580,0.6186,1.0000,0.6823,0.1782,-0.0017,0.2795,0.3658,0.0114
rsi_30,0.2691,0.5563,0.8522,0.6347,0.8625,0.6823,1.0000,0.1702,0.0308,0.1918,0.7486,0.0092
atr_norm,0.0827,0.1474,0.1851,0.0406,0.1957,0.1782,0.1702,1.0000,0.0497,0.0175,0.1246,-0.0026
vol_norm,0.0003,-0.0017,0.0415,0.0146,0.0363,-0.0017,0.0308,0.0497,1.0000,0.0501,0.0331,0.0115
oi_chg,0.2191,0.2432,0.1883,0.0533,0.1857,0.2795,0.1918,0.0175,0.0501,1.0000,0.1183,0.0171
drawdown,0.1377,0.2968,0.5300,0.7333,0.5688,0.3658,0.7486,0.1246,0.0331,0.1183,1.0000,0.0181
days_to_roll,0.0176,0.0117,0.0098,0.0115,0.0071,0.0114,0.0092,-0.0026,0.0115,0.0171,0.0181,1.0000
