,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4547,0.2251,0.0849,0.1300,0.5573,0.2627,-0.0065,0.0237,0.2082,0.1281,0.0146
ret_5d,0.4547,1.0000,0.5065,0.1891,0.5007,0.8822,0.5467,-0.0205,0.0180,0.2246,0.2730,0.0063
ret_21d,0.2251,0.5065,1.0000,0.3710,0.8820,0.6645,0.8586,0.0210,-0.0119,0.1348,0.5021,-0.0077
ret_126d,0.0849,0.1891,0.3710,1.0000,0.3920,0.2521,0.6263,0.0071,-0.0160,0.0428,0.8139,-0.0133
macd_8_24,0.1300,0.5007,0.8820,0.3920,1.0000,0.6569,0.8561,0.0145,-0.0004,0.1416,0.5443,-0.0128
rsi_5,0.5573,0.8822,0.6645,0.2521,0.6569,1.0000,0.6845,-0.0092,0.0137,0.2371,0.3586,-0.0029
rsi_30,0.2627,0.5467,0.8586,0.6263,0.8561,0.6845,1.0000,0.0093,-0.0192,0.1396,0.7438,-0.0139
atr_norm,-0.0065,-0.0205,0.0210,0.0071,0.0145,-0.0092,0.0093,1.0000,0.2955,-0.0453,0.0040,0.0089
vol_norm,0.0237,0.0180,-0.0119,-0.0160,-0.0004,0.0137,-0.0192,0.2955,1.0000,0.0205,-0.0144,0.0198
oi_chg,0.2082,0.2246,0.1348,0.0428,0.1416,0.2371,0.1396,-0.0453,0.0205,1.0000,0.0788,0.0152
drawdown,0.1281,0.2730,0.5021,0.8139,0.5443,0.3586,0.7438,0.0040,-0.0144,0.0788,1.0000,-0.0026
days_to_roll,0.0146,0.0063,-0.0077,-0.0133,-0.0128,-0.0029,-0.0139,0.0089,0.0198,0.0152,-0.0026,1.0000
