,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,0.0000,0.4510,0.2300,0.1056,0.1163,0.5513,0.2701,0.0134,-0.0280,0.0245,0.1330,-0.0016
ret_5d,0.4510,0.0000,0.5010,0.2340,0.4845,0.8707,0.5575,0.0627,-0.0360,0.0251,0.2767,-0.0028
ret_21d,0.2300,0.5010,0.0000,0.4460,0.8765,0.6587,0.8611,0.1181,0.0009,0.0201,0.4874,-0.0064
ret_126d,0.1056,0.2340,0.4460,0.0000,0.4576,0.3047,0.6842,0.0664,0.0035,0.0070,0.7243,-0.0152
macd_8_24,0.1163,0.4845,0.8765,0.4576,0.0000,0.6411,0.8541,0.1149,0.0002,0.0179,0.5065,-0.0078
rsi_5,0.5513,0.8707,0.6587,0.3047,0.6411,0.0000,0.6927,0.0786,-0.0324,0.0279,0.3584,-0.0045
rsi_30,0.2701,0.5575,0.8611,0.6842,0.8541,0.6927,0.0000,0.1138,-0.0034,0.0191,0.6861,-0.0128
atr_norm,0.0134,0.0627,0.1181,0.0664,0.1149,0.0786,0.1138,0.0000,0.2516,0.0137,0.0850,0.0049
vol_norm,-0.0280,-0.0360,0.0009,0.0035,0.0002,-0.0324,-0.0034,0.2516,0.0000,0.0593,0.0089,-0.0107
oi_chg,0.0245,0.0251,0.0201,0.0070,0.0179,0.0279,0.0191,0.0137,0.0593,0.0000,0.0128,-0.0074
drawdown,0.1330,0.2767,0.4874,0.7243,0.5065,0.3584,0.6861,0.0850,0.0089,0.0128,0.0000,-0.0221
days_to_roll,-0.0016,-0.0028,-0.0064,-0.0152,-0.0078,-0.0045,-0.0128,0.0049,-0.0107,-0.0074,-0.0221,0.0000
