,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,0.0000,0.0087,0.0100,0.0104,0.0139,0.0081,0.0062,0.1574,0.0714,0.0534,0.0157,0.0160
ret_5d,0.0087,0.0000,0.0182,0.0210,0.0136,0.0083,0.0089,0.2819,0.1186,0.0582,0.0302,0.0266
ret_21d,0.0100,0.0182,0.0000,0.0315,0.0076,0.0152,0.0074,0.2577,0.0586,0.0436,0.0470,0.0463
ret_126d,0.0104,0.0210,0.0315,0.0000,0.0337,0.0255,0.0253,0.1099,0.0183,0.0226,0.0651,0.0857
macd_8_24,0.0139,0.0136,0.0076,0.0337,0.0000,0.0133,0.0109,0.2654,0.0624,0.0436,0.0521,0.0483
rsi_5,0.0081,0.0083,0.0152,0.0255,0.0133,0.0000,0.0073,0.3097,0.1136,0.0649,0.0381,0.0374
rsi_30,0.0062,0.0089,0.0074,0.0253,0.0109,0.0073,0.0000,0.2542,0.0548,0.0451,0.0555,0.0636
atr_norm,0.1574,0.2819,0.2577,0.1099,0.2654,0.3097,0.2542,0.0000,0.1601,0.0275,0.1527,0.0253
vol_norm,0.0714,0.1186,0.0586,0.0183,0.0624,0.1136,0.0548,0.1601,0.0000,0.0563,0.0259,0.0708
oi_chg,0.0534,0.0582,0.0436,0.0226,0.0436,0.0649,0.0451,0.0275,0.0563,0.0000,0.0284,0.0244
drawdown,0.0157,0.0302,0.0470,0.0651,0.0521,0.0381,0.0555,0.1527,0.0259,0.0284,0.0000,0.0851
days_to_roll,0.0160,0.0266,0.0463,0.0857,0.0483,0.0374,0.0636,0.0253,0.0708,0.0244,0.0851,0.0000
