gamma,metric,r1_median,r1_q1,r1_q3,r2_median,r2_q1,r2_q3
0.5,E(R),-0.364,-0.502,-0.282,-0.32,-0.383,-0.234
0.5,std(R),0.256,0.198,0.276,0.214,0.163,0.221
0.5,DD,0.245,0.203,0.245,0.208,0.185,0.211
0.5,Sharpe,-1.838,-1.934,-1.023,-1.733,-1.956,-1.047
0.5,Sortino,-1.791,-2.045,-1.152,-1.672,-1.826,-1.125
0.5,MDD,0.374,0.33,0.518,0.337,0.248,0.409
0.5,Calmar,-0.132,-0.146,-0.11,-0.125,-0.129,-0.118
0.5,% +ve,0.236,0.235,0.246,0.185,0.184,0.198
0.5,Ave P/L,0.88,0.877,0.951,0.905,0.855,0.93
0.6,E(R),-0.273,-0.463,-0.081,-0.226,-0.291,0.012
0.6,std(R),0.232,0.169,0.268,0.176,0.135,0.21
0.6,DD,0.229,0.157,0.253,0.181,0.141,0.213
0.6,Sharpe,-1.176,-1.654,-0.48,-1.285,-1.387,0.088
0.6,Sortino,-1.194,-1.831,-0.516,-1.249,-1.363,0.084
0.6,MDD,0.303,0.125,0.51,0.237,0.042,0.321
0.6,Calmar,-0.115,-0.13,-0.075,-0.117,-0.119,0.031
0.6,% +ve,0.247,0.239,0.257,0.196,0.195,0.2
0.6,Ave P/L,0.933,0.875,0.959,0.925,0.898,0.973
0.7,E(R),-0.231,-0.285,-0.137,-0.156,-0.221,-0.105
0.7,std(R),0.2,0.184,0.261,0.15,0.141,0.194
0.7,DD,0.182,0.167,0.24,0.167,0.154,0.203
0.7,Sharpe,-1.09,-1.252,-0.686,-1.036,-1.139,-0.749
0.7,Sortino,-1.184,-1.383,-0.753,-0.934,-1.093,-0.683
0.7,MDD,0.285,0.145,0.325,0.182,0.148,0.27
0.7,Calmar,-0.112,-0.113,-0.101,-0.102,-0.103,-0.083
0.7,% +ve,0.241,0.238,0.248,0.192,0.187,0.203
0.7,Ave P/L,0.947,0.939,0.951,0.925,0.896,0.994
