cost_bp,asset_class,final_cumulative_reward
1,Commodity,-1.6977819388263553
1,Equity Index,0.9731915906236998
1,Fixed Income,6.3860729692547045
1,Forex,-1.0174172954805865
1,All,-0.07259803225515853
5,Commodity,-1.764339407860083
5,Equity Index,0.9012201282234725
5,Fixed Income,5.90119561779776
5,Forex,-1.165509350270248
5,All,-0.1940320739028287
10,Commodity,-1.847536244152237
10,Equity Index,0.8112558002231884
10,Fixed Income,5.295098928476558
10,Forex,-1.3506244187573309
10,All,-0.34582462596241736
15,Commodity,-1.9307330804443867
15,Equity Index,0.7212914722228986
15,Fixed Income,4.689002239155365
15,Forex,-1.5357394872444106
15,All,-0.497617178022007
20,Commodity,-2.0139299167365468
20,Equity Index,0.6313271442226154
20,Fixed Income,4.082905549834171
20,Forex,-1.7208545557314905
20,All,-0.6494097300815946
25,Commodity,-2.097126753028697
25,Equity Index,0.5413628162223336
25,Fixed Income,3.4768088605129743
25,Forex,-1.9059696242185686
25,All,-0.8012022821411832
30,Commodity,-2.180323589320858
30,Equity Index,0.45139848822205
30,Fixed Income,2.8707121711917787
30,Forex,-2.0910846927056568
30,All,-0.9529948342007689
35,Commodity,-2.2635204256130095
35,Equity Index,0.3614341602217672
35,Fixed Income,2.2646154818705813
35,Forex,-2.276199761192731
35,All,-1.1047873862603637
40,Commodity,-2.3467172619051597
40,Equity Index,0.27146983222148524
40,Fixed Income,1.6585187925493876
40,Forex,-2.461314829679812
40,All,-1.2565799383199499
45,Commodity,-2.4299140981973206
45,Equity Index,0.18150550422119968
45,Fixed Income,1.0524221032281955
45,Forex,-2.646429898166891
45,All,-1.4083724903795383
