cost_bp,asset_class,annualized_sharpe
1,Commodity,-0.5400789258152028
1,Equity Index,0.18036940017841555
1,Fixed Income,0.7941550453980928
1,Forex,-0.3130660186780474
1,All,-0.02884289161529124
5,Commodity,-0.5612588289084874
5,Equity Index,0.16703218603484668
5,Fixed Income,0.7337669398010014
5,Forex,-0.3585988494429985
5,All,-0.07708329648050403
10,Commodity,-0.5877342004940889
10,Equity Index,0.15035984908350733
10,Fixed Income,0.6582857522750897
10,Forex,-0.41549856738579366
10,All,-0.13737454325149326
15,Commodity,-0.614210078473302
15,Equity Index,0.13368674232806807
15,Fixed Income,0.5828149784145583
15,Forex,-0.4723786938935878
15,All,-0.1976544610966454
20,Commodity,-0.6406864188341501
20,Equity Index,0.11701301632980428
20,Fixed Income,0.5073610701595505
20,Forex,-0.5292376701091112
20,All,-0.2579219360250592
25,Commodity,-0.667163177558343
25,Equity Index,0.10033882167264209
25,Fixed Income,0.43193046654534956
25,Forex,-0.5860739403080926
25,All,-0.3181758553601208
30,Commodity,-0.6936403106216465
30,Equity Index,0.0836643089563599
30,Fixed Income,0.35652959097674014
30,Forex,-0.6428859521098922
30,All,-0.37841510784159293
35,Commodity,-0.7201177739942445
35,Equity Index,0.06698962878978691
35,Fixed Income,0.2811648485202968
35,Forex,-0.6996721566870403
35,All,-0.43863858372738374
40,Commodity,-0.7465955236411078
40,Equity Index,0.05031493178400135
40,Fixed Income,0.20584262321723285
40,Forex,-0.7564310089736127
40,All,-0.4988451748949822
45,Commodity,-0.7730735155223569
45,Equity Index,0.03364036854552932
45,Fixed Income,0.13056927541941407
45,Forex,-0.8131609678723666
45,All,-0.5590337749425114
